Jun 25, 2026  11:13:11 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   9.63E-014, 
  1.10,  -1.12E-012, 
  1.20,  -2.58E-013, 
  1.30,   2.66E-012, 
  1.40,   3.42E-012, 
  1.50,   4.26E-012, 
  1.60,   7.42E-012, 
  1.70,   9.14E-012, 
  1.80,   1.14E-011, 
  1.90,   1.36E-011, 
  2.00,   1.41E-011, 
  2.10,   1.50E-011, 
  2.20,   1.27E-011, 
  2.30,   1.02E-011, 
  2.40,   4.72E-012, 
  2.50,   1.78E-012, 
  2.60,   1.14E-012, 
  2.70,   2.48E-012, 
  2.80,   2.71E-012, 
  2.90,  -7.64E-013, 
  3.00,   3.91E-013, 
  3.10,   4.17E-012, 
  3.20,   4.71E-012, 
  3.30,   5.37E-012, 
  3.40,   8.41E-012, 
  3.50,   3.10E-011, 
  3.60,   9.69E-011, 
  3.70,   1.61E-010, 
  3.80,   1.98E-010, 
  3.90,   2.75E-010, 
  4.00,   3.38E-010, 
  4.10,   3.47E-010, 
  4.20,   2.82E-010, 
  4.30,   1.50E-010, 
  4.40,   2.90E-011, 
  4.50,   6.11E-012, 
  4.60,   2.31E-012, 
  4.70,   2.22E-012, 
  4.80,   1.03E-012, 
  4.90,  -2.67E-013, 
  5.00,   5.35E-014, 
  5.10,   5.26E-014, 
  5.20,   2.49E-013, 
  5.30,   3.47E-013, 
  5.40,   1.18E-013, 
  5.50,  -1.57E-013, 
  5.60,  -2.68E-014, 
  5.70,  -5.08E-014, 
  5.80,  -4.64E-014, 
  5.90,  -4.55E-014, 
  6.00,   4.28E-014, 
  6.10,  -1.97E-013, 
  6.20,  -1.43E-013, 
  6.30,  -1.77E-013, 
  6.40,  -3.40E-013, 
  6.50,  -2.05E-013, 
  6.60,   6.24E-014, 
  6.70,  -2.57E-013, 
