Jun 25, 2026  02:01:46 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   2.71E-012, 
  1.10,  -4.74E-013, 
  1.20,  -5.87E-013, 
  1.30,   3.27E-012, 
  1.40,   6.12E-012, 
  1.50,   1.31E-011, 
  1.60,   3.13E-011, 
  1.70,   4.86E-011, 
  1.80,   6.12E-011, 
  1.90,   7.22E-011, 
  2.00,   7.88E-011, 
  2.10,   8.34E-011, 
  2.20,   7.97E-011, 
  2.30,   6.11E-011, 
  2.40,   2.83E-011, 
  2.50,   6.60E-012, 
  2.60,   2.22E-012, 
  2.70,   2.97E-012, 
  2.80,   2.75E-012, 
  2.90,  -1.29E-012, 
  3.00,  -6.13E-013, 
  3.10,  -4.41E-013, 
  3.20,   1.86E-013, 
  3.30,   3.56E-012, 
  3.40,   4.09E-012, 
  3.50,   6.54E-012, 
  3.60,   1.69E-011, 
  3.70,   3.11E-011, 
  3.80,   4.63E-011, 
  3.90,   6.36E-011, 
  4.00,   8.59E-011, 
  4.10,   9.63E-011, 
  4.20,   8.37E-011, 
  4.30,   5.60E-011, 
  4.40,   1.98E-011, 
  4.50,   7.70E-012, 
  4.60,   4.96E-012, 
  4.70,   2.92E-012, 
  4.80,  -1.12E-012, 
  4.90,  -6.97E-013, 
  5.00,  -2.54E-013, 
  5.10,   4.46E-015, 
  5.20,   2.59E-014, 
  5.30,  -3.48E-014, 
  5.40,  -5.80E-014, 
  5.50,   3.21E-014, 
  5.60,  -1.78E-014, 
  5.70,   1.69E-013, 
  5.80,   1.03E-013, 
  5.90,  -3.75E-014, 
  6.00,   4.28E-014, 
  6.10,  -1.03E-013, 
  6.20,  -1.78E-014, 
  6.30,   1.84E-013, 
  6.40,  -3.01E-013, 
  6.50,  -2.90E-013, 
  6.60,  -9.90E-014, 
  6.70,  -1.61E-013, 
