Jul 23, 2026  09:54:50 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   5.35E-015, 
  1.10,   2.83E-012, 
  1.20,   9.76E-012, 
  1.30,   2.37E-011, 
  1.40,   1.48E-011, 
  1.50,   1.42E-011, 
  1.60,   2.32E-011, 
  1.70,   2.98E-011, 
  1.80,   3.55E-011, 
  1.90,   3.96E-011, 
  2.00,   4.11E-011, 
  2.10,   4.19E-011, 
  2.20,   3.87E-011, 
  2.30,   2.87E-011, 
  2.40,   1.32E-011, 
  2.50,   4.96E-012, 
  2.60,   2.35E-012, 
  2.70,  -3.15E-013, 
  2.80,  -1.47E-012, 
  2.90,  -8.57E-013, 
  3.00,  -3.64E-013, 
  3.10,  -2.73E-013, 
  3.20,  -1.41E-013, 
  3.30,  -1.35E-013, 
  3.40,  -1.68E-013, 
  3.50,   4.19E-014, 
  3.60,   9.19E-014, 
  3.70,  -4.64E-014, 
  3.80,   7.85E-014, 
  3.90,   2.94E-013, 
  4.00,   2.21E-013, 
  4.10,   3.12E-013, 
  4.20,   4.69E-013, 
  4.30,   2.12E-013, 
  4.40,   8.20E-014, 
  4.50,  -2.05E-014, 
  4.60,   9.10E-014, 
  4.70,  -1.44E-013, 
  4.80,  -1.36E-013, 
  4.90,  -5.35E-014, 
  5.00,  -3.69E-013, 
  5.10,  -4.04E-013, 
  5.20,  -2.14E-014, 
  5.30,  -2.85E-014, 
  5.40,  -1.57E-013, 
  5.50,   1.58E-013, 
  5.60,   2.00E-013, 
  5.70,   2.94E-014, 
  5.80,  -1.19E-013, 
  5.90,  -1.52E-013, 
  6.00,  -1.94E-013, 
  6.10,  -2.68E-013, 
  6.20,  -2.41E-014, 
  6.30,  -1.14E-013, 
  6.40,  -2.59E-013, 
  6.50,  -3.90E-013, 
  6.60,  -2.37E-013, 
