Jul 23, 2026  12:56:50 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   5.39E-012, 
  1.10,   7.53E-012, 
  1.20,   9.70E-012, 
  1.30,   1.44E-011, 
  1.40,   1.71E-011, 
  1.50,   2.64E-011, 
  1.60,   3.52E-011, 
  1.70,   3.93E-011, 
  1.80,   3.99E-011, 
  1.90,   4.10E-011, 
  2.00,   4.34E-011, 
  2.10,   4.47E-011, 
  2.20,   4.13E-011, 
  2.30,   3.23E-011, 
  2.40,   1.55E-011, 
  2.50,   4.75E-012, 
  2.60,   2.85E-012, 
  2.70,   2.22E-012, 
  2.80,   3.84E-012, 
  2.90,   4.28E-012, 
  3.00,   3.73E-012, 
  3.10,   3.55E-012, 
  3.20,   4.27E-012, 
  3.30,   6.61E-012, 
  3.40,   1.36E-011, 
  3.50,   4.56E-011, 
  3.60,   1.16E-010, 
  3.70,   1.74E-010, 
  3.80,   2.05E-010, 
  3.90,   2.91E-010, 
  4.00,   3.47E-010, 
  4.10,   3.57E-010, 
  4.20,   2.98E-010, 
  4.30,   1.86E-010, 
  4.40,   5.10E-011, 
  4.50,   1.49E-011, 
  4.60,   7.02E-012, 
  4.70,   4.13E-012, 
  4.80,   1.84E-012, 
  4.90,  -2.46E-013, 
  5.00,   3.38E-013, 
  5.10,   1.15E-012, 
  5.20,   1.36E-012, 
  5.30,   1.57E-012, 
  5.40,   1.38E-012, 
  5.50,   1.16E-012, 
  5.60,   1.02E-012, 
  5.70,   9.56E-013, 
  5.80,   9.81E-013, 
  5.90,   1.15E-012, 
  6.00,   1.18E-012, 
  6.10,   9.84E-013, 
  6.20,   1.11E-012, 
  6.30,   1.31E-012, 
  6.40,   1.12E-012, 
  6.50,   9.39E-013, 
  6.60,   9.00E-013, 
  6.70,   8.73E-013, 
  6.80,   8.73E-013, 
