Jun 25, 2026  10:34:19 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Jun 25, 2026  10:34:19 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

0.000,   6.7977E-008,   3.6841E-006,   1.7434E-012,   2.1197E-011,   1.9016E-011,   2.9584E-009,   3.4264E-009,   1.6765E-013,   4.4900E-012,   6.6569E-012,  
6.187,   6.8674E-008,   3.6252E-006,   3.2181E-011,   2.2378E-011,   1.8919E-011,   2.9115E-009,   3.1247E-009,   1.6141E-013,   4.4882E-012,   8.1979E-012,  
12.203,   6.9275E-008,   3.6140E-006,   3.2480E-011,   2.1752E-011,   1.8807E-011,   2.7742E-009,   3.0894E-009,   2.8804E-013,   4.7816E-012,   5.8722E-012,  
18.265,   6.6561E-008,   3.5623E-006,   3.2065E-011,   2.1458E-011,   1.8855E-011,   2.7444E-009,   3.1491E-009,   8.2308E-013,   8.2264E-012,   6.6863E-012,  
24.265,   6.6307E-008,   3.5686E-006,   3.2535E-011,   2.2469E-011,   1.8588E-011,   2.8193E-009,   3.0750E-009,   6.2066E-013,   9.1378E-012,   7.3052E-012,  
30.297,   6.6330E-008,   3.5859E-006,   3.3120E-011,   2.1049E-011,   1.8721E-011,   3.1283E-009,   2.8464E-009,   6.8754E-013,   4.4971E-012,   6.5231E-012,  
36.375,   6.5358E-008,   3.5356E-006,   3.2363E-011,   2.0936E-011,   1.8801E-011,   2.9033E-009,   2.6513E-009,   3.2906E-013,   7.8242E-012,   7.0680E-012,  
42.422,   6.2986E-008,   3.5360E-006,   3.3043E-011,   2.0982E-011,   1.8242E-011,   2.9494E-009,   2.7977E-009,   1.0772E-012,   8.5519E-012,   5.9498E-012,  
48.484,   6.3682E-008,   3.5406E-006,   3.3035E-011,   2.1754E-011,   1.9359E-011,   2.7669E-009,   2.9973E-009,   6.3136E-013,   4.9394E-012,   6.5517E-012,  
54.500,   6.3794E-008,   3.5344E-006,   3.3007E-011,   2.1593E-011,   1.9014E-011,   2.7913E-009,   2.7136E-009,   3.4778E-013,   5.1766E-012,   7.2802E-012,  
