Jun 25, 2026  04:27:01 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   1.25E-012, 
  1.10,  -1.53E-012, 
  1.20,  -4.12E-013, 
  1.30,   5.00E-012, 
  1.40,   3.04E-012, 
  1.50,   1.43E-011, 
  1.60,   3.81E-011, 
  1.70,   5.57E-011, 
  1.80,   6.70E-011, 
  1.90,   7.78E-011, 
  2.00,   8.81E-011, 
  2.10,   9.19E-011, 
  2.20,   8.24E-011, 
  2.30,   5.66E-011, 
  2.40,   2.07E-011, 
  2.50,   4.37E-012, 
  2.60,   1.74E-012, 
  2.70,   2.48E-012, 
  2.80,   2.84E-012, 
  2.90,   1.77E-012, 
  3.00,  -1.58E-012, 
  3.10,  -7.42E-013, 
  3.20,   1.82E-012, 
  3.30,   4.48E-012, 
  3.40,   5.79E-012, 
  3.50,   1.41E-011, 
  3.60,   3.63E-011, 
  3.70,   6.96E-011, 
  3.80,   8.93E-011, 
  3.90,   1.26E-010, 
  4.00,   1.61E-010, 
  4.10,   1.66E-010, 
  4.20,   1.36E-010, 
  4.30,   7.41E-011, 
  4.40,   2.00E-011, 
  4.50,   5.67E-012, 
  4.60,   4.92E-012, 
  4.70,   3.17E-012, 
  4.80,   2.68E-013, 
  4.90,  -1.69E-012, 
  5.00,  -1.01E-012, 
  5.10,  -6.32E-013, 
  5.20,  -5.53E-014, 
  5.30,   4.28E-014, 
  5.40,  -5.44E-014, 
  5.50,   9.81E-015, 
  5.60,  -1.56E-013, 
  5.70,  -5.15E-013, 
  5.80,  -3.69E-013, 
  5.90,  -4.23E-013, 
  6.00,  -3.42E-013, 
  6.10,  -1.52E-013, 
  6.20,  -3.53E-013, 
  6.30,  -2.88E-013, 
  6.40,  -3.25E-013, 
  6.50,  -5.80E-014, 
  6.60,   2.05E-013, 
  6.70,   3.00E-013, 
