Jul 16, 2026  02:37:07 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   6.74E-012, 
  1.10,   4.73E-012, 
  1.20,   2.98E-012, 
  1.30,   1.07E-011, 
  1.40,   1.33E-011, 
  1.50,   2.41E-011, 
  1.60,   4.11E-011, 
  1.70,   5.08E-011, 
  1.80,   5.76E-011, 
  1.90,   6.15E-011, 
  2.00,   6.76E-011, 
  2.10,   6.77E-011, 
  2.20,   6.38E-011, 
  2.30,   4.60E-011, 
  2.40,   2.08E-011, 
  2.50,   9.26E-012, 
  2.60,   8.23E-012, 
  2.70,   1.17E-011, 
  2.80,   1.22E-011, 
  2.90,   1.32E-011, 
  3.00,   1.67E-011, 
  3.10,   2.25E-011, 
  3.20,   3.71E-011, 
  3.30,   7.36E-011, 
  3.40,   1.92E-010, 
  3.50,   6.59E-010, 
  3.60,   1.46E-009, 
  3.70,   2.06E-009, 
  3.80,   2.46E-009, 
  3.90,   3.45E-009, 
  4.00,   4.16E-009, 
  4.10,   4.14E-009, 
  4.20,   3.26E-009, 
  4.30,   1.37E-009, 
  4.40,   1.16E-010, 
  4.50,   1.60E-011, 
  4.60,   7.08E-012, 
  4.70,   5.41E-012, 
  4.80,   3.28E-012, 
  4.90,   2.59E-013, 
  5.00,  -8.11E-013, 
  5.10,   1.79E-013, 
  5.20,   3.42E-013, 
  5.30,   3.28E-013, 
  5.40,   4.58E-013, 
  5.50,   3.88E-013, 
  5.60,   7.84E-013, 
  5.70,   6.00E-013, 
  5.80,   4.87E-013, 
  5.90,  -2.41E-014, 
  6.00,   4.61E-013, 
  6.10,   6.38E-013, 
  6.20,   1.12E-013, 
  6.30,   2.43E-013, 
  6.40,   1.84E-013, 
  6.50,   1.39E-013, 
  6.60,  -3.21E-013, 
  6.70,   3.00E-013, 
  6.80,   2.02E-013, 
