	 p1 	 p1_ 	Kr1 [%]	H2_1 [%] 	Kr in	total in	Kr_ in	 p2 	 p2_ 	Kr2 [%]	H2_2 [%] 	Kr out	total out	Kr_ out	recovery	recovery_	difference
Replica 5	0.042	0.0022	0.295	0.535	0.48431625	1.64175	0.706409845	0.045	0.0015	0.258	0.489	0.46294875	1.794375	0.656990412	0.9558811	0.930041415	-0.025839685
	0.402	0.0011	0.148	0.444	1.014004388	6.851381	1.399905487	0.4965		0.64	0.219	13.1076	20.480625	15.56808377	12.92657128	11.1208106	-1.805760682
Replica 10	0.091	0.0015	0.752	0.162	2.77629	3.691875	3.161797697	0.086	0.001	0.511	0.296	1.79169375	3.50625	2.24627205	0.645355402	0.710441421	0.065086019
Replica 6	0.1495	0.0015	0.774	0.152	4.72527	6.105	5.340905177	0.1308	0.0012	0.643	0.156	3.437478	5.346	3.897117915	0.727467002	0.729673676	0.002206674
Replica 9	0.1643	0.0015	0.824	0.136	5.533572	6.7155	6.178628393	0.15	0.001	0.552	0.278	3.39273	6.14625	4.201169091	0.613117531	0.679951734	0.066834204
Replica 2	0.513		0.411	0.345	8.69727375	21.16125	11.26918184	0.4605	0.0015	0.715	0.034	13.53763125	18.93375	13.9321565	1.556537329	1.236305944	-0.320231384
Replica 7	0.288	0.002	0.772	0.119	9.10767	11.7975	10.03665234	0.209	0.0017	0.611	0.097	5.224737375	8.551125	5.659136968	0.573663448	0.563847065	-0.009816383
Replica 8	0.293	0.0023	0.824	0.112	9.880893	11.991375	10.82945873	0.279	0.0017	0.799	0.075	9.139461375	11.438625	9.726998178	0.924963095	0.898198001	-0.026765095
Replica 4	0.749	0.006	0.517	0.348	15.84540375	30.64875	20.57186133	0.5309	0.0011	0.729	0.056	15.93174825	21.85425	16.69647217	1.005449183	0.81161699	-0.193832193
Replica 1	0.774	0.003	0.633	0.039	20.13177375	31.80375	20.80475019	0.549	0.0012	0.819	0.051	18.50673825	22.59675	19.31574709	0.919280063	0.928429658	0.009149594
Replica 3	0.67	0.0048	0.821	0.048	22.5278295	27.4395	23.45468877	0.6227	0.0012	0.836	0.042	21.4324275	25.636875	22.20399489	0.951375609	0.946676168	-0.00469944
