	 p1 	 p1_ 	Kr1 [%]	H2_1 [%] 	Kr in	total in	Kr_ [%]	Kr_ in	 p2 	 p2_ 	Kr2 [%]	H2_2 [%] 	Kr out	total out	Kr2_ [%]	Kr_ out	recovery in %	recovery_ in %	difference in %
Replica 5	0.042	0.0022	0.295	0.535	0.48431625	1.64175	0.547454931	0.898784133	0.045	0.0015	0.258	0.489	0.46294875	1.794375	0.453540934	0.813822514	95.58811004	90.54704949	-5.04106055
	0.402	0.0011	0.148	0.444	1.014004388	6.851381	0.252929688	1.732917655	0.4965		0.64	0.219	13.1076	20.480625	0.802292264	16.43144699	1292.657128	948.1954865	-344.4616416
Replica 10	0.091	0.0015	0.752	0.162	2.77629	3.691875	0.879385232	3.246580354	0.086	0.001	0.511	0.296	1.79169375	3.50625	0.701647705	2.460152266	64.53554024	75.77672496	11.24118473
Replica 6	0.1495	0.0015	0.774	0.152	4.72527	6.105	0.899701096	5.492675191	0.1308	0.0012	0.643	0.156	3.437478	5.346	0.776838108	4.152976527	72.74670019	75.60935943	2.862659241
Replica 9	0.1643	0.0015	0.824	0.136	5.533572	6.7155	0.938191282	6.300423552	0.15	0.001	0.552	0.278	3.39273	6.14625	0.731264194	4.494532551	61.31175306	71.3369905	10.02523744
Replica 2	0.513		0.411	0.345	8.69727375	21.16125	0.590759754	12.50121484	0.4605	0.0015	0.715	0.034	13.53763125	18.93375	0.764122137	14.46769752	155.6537329	115.7303327	-39.92340019
Replica 7	0.288	0.002	0.772	0.119	9.10767	11.7975	0.862983073	10.1810428	0.209	0.0017	0.611	0.097	5.224737375	8.551125	0.679104478	5.807107276	57.3663448	57.03843301	-0.327911784
Replica 8	0.293	0.0023	0.824	0.112	9.880893	11.991375	0.923766816	11.0772343	0.279	0.0017	0.799	0.075	9.139461375	11.438625	0.879679144	10.06231985	92.49630954	90.83783529	-1.658474251
Replica 4	0.749	0.006	0.517	0.348	15.84540375	30.64875	0.739476911	22.66404296	0.5309	0.0011	0.729	0.056	15.93174825	21.85425	0.782668712	17.10463769	100.5449183	75.4703727	-25.07454557
Replica 1	0.774	0.003	0.633	0.039	20.13177375	31.80375	0.657223376	20.90216794	0.549	0.0012	0.819	0.051	18.50673825	22.59675	0.878486056	19.85092978	91.92800634	94.97067404	3.042667694
Replica 3	0.67	0.0048	0.821	0.048	22.5278295	27.4395	0.856227652	23.49445866	0.6227	0.0012	0.836	0.042	21.4324275	25.636875	0.899200983	23.05270321	95.13756086	98.11974623	2.982185374
