Jun 25, 2026  10:02:07 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   1.16E-014, 
  1.10,   1.20E-012, 
  1.20,  -2.21E-012, 
  1.30,  -4.20E-011, 
  1.40,  -5.54E-011, 
  1.50,   2.04E-011, 
  1.60,   1.00E-010, 
  1.70,   1.63E-010, 
  1.80,   1.94E-010, 
  1.90,   2.26E-010, 
  2.00,   2.52E-010, 
  2.10,   2.65E-010, 
  2.20,   2.55E-010, 
  2.30,   2.05E-010, 
  2.40,   9.88E-011, 
  2.50,   1.34E-011, 
  2.60,   3.14E-012, 
  2.70,   1.83E-012, 
  2.80,   1.28E-012, 
  2.90,   2.12E-012, 
  3.00,   5.53E-014, 
  3.10,   4.18E-013, 
  3.20,   7.05E-013, 
  3.30,   8.10E-013, 
  3.40,   8.54E-013, 
  3.50,   4.31E-012, 
  3.60,   5.45E-012, 
  3.70,   6.22E-012, 
  3.80,   9.06E-012, 
  3.90,   1.37E-011, 
  4.00,   1.92E-011, 
  4.10,   2.27E-011, 
  4.20,   2.31E-011, 
  4.30,   1.94E-011, 
  4.40,   1.15E-011, 
  4.50,   7.52E-012, 
  4.60,   3.82E-012, 
  4.70,   9.57E-013, 
  4.80,  -8.64E-013, 
  4.90,  -4.57E-013, 
  5.00,  -1.61E-014, 
  5.10,   3.01E-013, 
  5.20,   3.67E-013, 
  5.30,   3.98E-013, 
  5.40,   5.92E-013, 
  5.50,   5.53E-013, 
  5.60,   4.76E-013, 
  5.70,   5.38E-013, 
  5.80,   2.93E-013, 
  5.90,   2.44E-013, 
  6.00,   2.41E-013, 
  6.10,   2.43E-013, 
  6.20,   3.84E-013, 
  6.30,   3.06E-013, 
  6.40,   4.55E-013, 
  6.50,   4.76E-013, 
  6.60,   2.88E-013, 
  6.70,   3.93E-013, 
  6.80,   4.90E-013, 
