Jul 16, 2026  01:48:36 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   2.35E-012, 
  1.10,   2.70E-012, 
  1.20,   1.57E-012, 
  1.30,   9.24E-012, 
  1.40,   1.24E-011, 
  1.50,   3.11E-011, 
  1.60,   6.48E-011, 
  1.70,   8.57E-011, 
  1.80,   9.82E-011, 
  1.90,   1.11E-010, 
  2.00,   1.20E-010, 
  2.10,   1.22E-010, 
  2.20,   1.09E-010, 
  2.30,   7.69E-011, 
  2.40,   2.77E-011, 
  2.50,   9.10E-012, 
  2.60,   7.02E-012, 
  2.70,   8.58E-012, 
  2.80,   1.10E-011, 
  2.90,   1.18E-011, 
  3.00,   1.37E-011, 
  3.10,   1.91E-011, 
  3.20,   3.24E-011, 
  3.30,   6.48E-011, 
  3.40,   1.63E-010, 
  3.50,   5.95E-010, 
  3.60,   1.40E-009, 
  3.70,   1.99E-009, 
  3.80,   2.40E-009, 
  3.90,   3.31E-009, 
  4.00,   3.94E-009, 
  4.10,   3.91E-009, 
  4.20,   3.06E-009, 
  4.30,   1.32E-009, 
  4.40,   9.68E-011, 
  4.50,   1.29E-011, 
  4.60,   4.49E-012, 
  4.70,   3.05E-012, 
  4.80,   3.58E-012, 
  4.90,   1.74E-012, 
  5.00,  -1.55E-012, 
  5.10,  -8.12E-013, 
  5.20,  -4.76E-013, 
  5.30,  -3.30E-013, 
  5.40,  -4.26E-013, 
  5.50,  -3.54E-013, 
  5.60,  -3.09E-013, 
  5.70,  -2.05E-013, 
  5.80,  -2.76E-014, 
  5.90,   1.11E-013, 
  6.00,  -1.07E-014, 
  6.10,   3.39E-014, 
  6.20,   3.44E-013, 
  6.30,   4.94E-013, 
  6.40,   3.21E-013, 
  6.50,   5.80E-014, 
  6.60,   2.04E-013, 
  6.70,   1.88E-013, 
