Jul 16, 2026  02:56:59 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   1.58E-012, 
  1.10,   2.36E-012, 
  1.20,   2.67E-012, 
  1.30,   2.05E-011, 
  1.40,   5.43E-011, 
  1.50,   5.59E-010, 
  1.60,   1.09E-009, 
  1.70,   1.48E-009, 
  1.80,   1.75E-009, 
  1.90,   2.01E-009, 
  2.00,   2.23E-009, 
  2.10,   2.26E-009, 
  2.20,   2.05E-009, 
  2.30,   1.30E-009, 
  2.40,   2.72E-010, 
  2.50,   1.93E-011, 
  2.60,   6.15E-012, 
  2.70,   2.87E-012, 
  2.80,   4.11E-012, 
  2.90,   2.08E-012, 
  3.00,  -1.45E-012, 
  3.10,  -5.11E-013, 
  3.20,   8.20E-014, 
  3.30,   2.97E-012, 
  3.40,   3.81E-012, 
  3.50,   5.06E-012, 
  3.60,   1.15E-011, 
  3.70,   2.00E-011, 
  3.80,   3.03E-011, 
  3.90,   4.39E-011, 
  4.00,   5.86E-011, 
  4.10,   6.40E-011, 
  4.20,   5.53E-011, 
  4.30,   3.50E-011, 
  4.40,   1.25E-011, 
  4.50,   6.83E-012, 
  4.60,   3.81E-012, 
  4.70,   1.81E-012, 
  4.80,  -1.55E-012, 
  4.90,  -8.71E-013, 
  5.00,  -6.68E-013, 
  5.10,  -6.04E-013, 
  5.20,  -1.98E-013, 
  5.30,  -3.20E-013, 
  5.40,  -2.57E-013, 
  5.50,   1.96E-014, 
  5.60,  -5.26E-014, 
  5.70,  -2.68E-015, 
  5.80,   1.51E-013, 
  5.90,   6.69E-014, 
  6.00,  -3.68E-013, 
  6.10,  -3.84E-013, 
  6.20,  -3.74E-013, 
  6.30,  -3.42E-013, 
  6.40,   3.66E-014, 
  6.50,  -4.19E-014, 
  6.60,   1.93E-013, 
  6.70,   1.11E-013, 
