Jul 29, 2026  09:41:02 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,  -4.40E-013, 
  1.10,  -1.16E-012, 
  1.20,  -8.41E-012, 
  1.30,  -1.40E-010, 
  1.40,  -1.65E-010, 
  1.50,  -7.08E-012, 
  1.60,   8.33E-011, 
  1.70,   1.42E-010, 
  1.80,   1.99E-010, 
  1.90,   2.27E-010, 
  2.00,   2.64E-010, 
  2.10,   2.78E-010, 
  2.20,   2.74E-010, 
  2.30,   2.28E-010, 
  2.40,   1.29E-010, 
  2.50,   1.60E-011, 
  2.60,   2.52E-012, 
  2.70,   7.08E-013, 
  2.80,   4.13E-013, 
  2.90,   2.19E-012, 
  3.00,  -8.05E-013, 
  3.10,  -4.01E-013, 
  3.20,  -3.74E-013, 
  3.30,  -3.30E-014, 
  3.40,   3.01E-013, 
  3.50,   3.20E-012, 
  3.60,   4.76E-012, 
  3.70,   8.22E-012, 
  3.80,   1.35E-011, 
  3.90,   1.79E-011, 
  4.00,   2.35E-011, 
  4.10,   2.66E-011, 
  4.20,   2.86E-011, 
  4.30,   2.53E-011, 
  4.40,   1.62E-011, 
  4.50,   9.61E-012, 
  4.60,   4.43E-012, 
  4.70,   1.95E-012, 
  4.80,  -1.60E-012, 
  4.90,  -1.24E-012, 
  5.00,  -9.52E-013, 
  5.10,  -6.00E-013, 
  5.20,  -5.89E-013, 
  5.30,  -3.80E-013, 
  5.40,  -4.39E-013, 
  5.50,  -3.19E-013, 
  5.60,  -3.47E-013, 
  5.70,  -1.93E-013, 
  5.80,  -2.72E-013, 
  5.90,  -1.53E-013, 
  6.00,  -6.51E-014, 
  6.10,   1.46E-013, 
  6.20,  -7.76E-014, 
  6.30,  -3.46E-013, 
  6.40,  -2.62E-013, 
  6.50,   3.39E-014, 
  6.60,   2.45E-013, 
