Jul 29, 2026  10:04:27 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   7.83E-009, 
  1.10,   8.80E-009, 
  1.20,   1.08E-008, 
  1.30,   1.33E-008, 
  1.40,   1.73E-008, 
  1.50,   2.19E-008, 
  1.60,   1.93E-008, 
  1.70,   1.45E-008, 
  1.80,   1.12E-008, 
  1.90,   8.93E-009, 
  2.00,   7.36E-009, 
  2.10,   6.73E-009, 
  2.20,   6.52E-009, 
  2.30,   5.95E-009, 
  2.40,   4.93E-009, 
  2.50,   2.87E-009, 
  2.60,   1.45E-009, 
  2.70,   7.73E-010, 
  2.80,   3.86E-010, 
  2.90,   7.73E-011, 
  3.00,   1.24E-011, 
  3.10,  -1.69E-010, 
  3.20,  -5.05E-010, 
  3.30,  -9.88E-011, 
  3.40,   1.15E-010, 
  3.50,   3.59E-011, 
  3.60,   7.37E-011, 
  3.70,   4.78E-010, 
  3.80,   1.21E-009, 
  3.90,   1.78E-009, 
  4.00,   2.37E-009, 
  4.10,   3.35E-009, 
  4.20,   4.12E-009, 
  4.30,   4.06E-009, 
  4.40,   3.04E-009, 
  4.50,   1.59E-009, 
  4.60,   7.35E-010, 
  4.70,   1.23E-010, 
  4.80,  -1.66E-010, 
  4.90,  -6.07E-010, 
  5.00,   1.30E-010, 
  5.10,  -5.57E-010, 
  5.20,  -5.57E-010, 
  5.30,   9.89E-011, 
  5.40,  -2.24E-010, 
  5.50,  -5.70E-010, 
  5.60,   1.06E-010, 
  5.70,  -2.46E-011, 
  5.80,  -4.85E-010, 
  5.90,  -1.71E-010, 
  6.00,  -1.58E-010, 
  6.10,  -5.71E-010, 
  6.20,  -4.15E-010, 
  6.30,  -1.06E-010, 
  6.40,   1.24E-010, 
  6.50,  -4.03E-010, 
  6.60,  -5.39E-010, 
  6.70,  -4.96E-010, 
