Jul 29, 2026  10:22:26 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Jul 29, 2026  10:22:26 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

0.000,   5.4901E-008,   2.7122E-006,   4.7075E-012,   2.4823E-011,   2.4570E-011,   3.3243E-009,   1.9142E-009,   5.1097E-013,   5.6171E-012,   8.0168E-013,  
5.640,   6.1026E-008,   2.6753E-006,   5.2471E-012,   2.5006E-011,   2.3729E-011,   3.2882E-009,   1.8175E-009,   7.3748E-013,   8.6651E-012,   5.2078E-013,  
11.703,   5.3659E-008,   2.6358E-006,   3.1322E-011,   2.3292E-011,   2.4678E-011,   3.2421E-009,   1.6387E-009,   8.5697E-013,   6.5936E-012,   7.4639E-013,  
17.765,   5.6808E-008,   2.6170E-006,   3.3738E-011,   2.3856E-011,   2.3720E-011,   3.1852E-009,   1.3893E-009,   3.6918E-013,   6.8977E-012,   7.7047E-013,  
23.875,   5.7079E-008,   2.6068E-006,   3.3641E-011,   2.4048E-011,   2.3228E-011,   3.3089E-009,   1.6323E-009,   5.7785E-013,   9.2617E-012,   9.1672E-013,  
29.890,   5.4063E-008,   2.5749E-006,   1.0261E-011,   2.3902E-011,   2.3820E-011,   3.0840E-009,   1.5619E-009,   6.2601E-013,   6.1870E-012,   7.3659E-013,  
35.953,   5.5958E-008,   2.5697E-006,   3.5793E-011,   2.3935E-011,   2.2892E-011,   3.1617E-009,   1.5610E-009,   4.7263E-013,   8.5760E-012,   5.7866E-012,  
42.000,   5.6102E-008,   2.5378E-006,   3.3893E-011,   2.3270E-011,   2.3636E-011,   3.2276E-009,   1.7633E-009,   1.9351E-013,   7.9651E-012,   4.1110E-013,  
48.000,   5.2520E-008,   2.5274E-006,   3.0909E-011,   2.4665E-011,   2.3681E-011,   2.9106E-009,   1.8744E-009,   4.2269E-013,   7.0618E-012,   7.2945E-013,  
54.000,   5.4573E-008,   2.5187E-006,   3.3585E-011,   2.2464E-011,   2.2392E-011,   3.1138E-009,   1.6685E-009,   1.8103E-013,   7.8331E-012,   7.0002E-013,  
60.062,   5.1961E-008,   2.5173E-006,   1.1347E-011,   2.4049E-011,   2.2395E-011,   3.0958E-009,   1.6522E-009,   2.2472E-013,   6.7693E-012,   9.2653E-013,  
66.078,   5.3785E-008,   2.5278E-006,   7.9134E-012,   2.3196E-011,   2.2476E-011,   3.2132E-009,   1.3189E-009,   4.3874E-013,   7.2767E-012,   7.7939E-013,  
72.125,   5.1487E-008,   2.5067E-006,   3.3651E-011,   2.3301E-011,   2.2790E-011,   3.2385E-009,   1.7931E-009,   6.5633E-013,   6.7390E-012,   4.0396E-013,  
78.156,   5.2964E-008,   2.4817E-006,   6.8700E-012,   2.1588E-011,   2.1871E-011,   3.2755E-009,   1.4779E-009,   4.5033E-013,   8.2193E-012,   6.3493E-013,  
84.218,   5.0352E-008,   2.4702E-006,   3.2787E-011,   2.2431E-011,   2.2483E-011,   3.1978E-009,   1.7489E-009,   4.5836E-013,   7.6245E-012,   6.8932E-013,  
90.234,   4.7905E-008,   2.4753E-006,   3.5716E-011,   2.2440E-011,   2.1969E-011,   3.2746E-009,   1.5881E-009,   8.4181E-013,   7.4934E-012,   7.2053E-013,  
96.297,   5.0254E-008,   2.4624E-006,   7.6753E-012,   2.2977E-011,   2.2792E-011,   3.1436E-009,   1.9313E-009,   3.9237E-013,   7.3418E-012,   6.8665E-013,  
102.343,   4.8126E-008,   2.4774E-006,   8.3985E-012,   2.2692E-011,   3.2036E-011,   3.3071E-009,   1.7227E-009,   7.0805E-013,   7.0653E-012,   5.7072E-013,  
108.390,   5.0212E-008,   2.4685E-006,   3.5375E-011,   2.2922E-011,   6.4731E-011,   3.1201E-009,   1.8880E-009,   4.6371E-013,   6.9851E-012,   7.6780E-013,  
114.406,   4.8149E-008,   2.4606E-006,   3.4692E-011,   1.8737E-011,   5.9378E-011,   3.3415E-009,   1.6224E-009,   2.5147E-013,   7.0466E-012,   5.6715E-013,  
120.453,   4.7630E-008,   2.4712E-006,   3.4213E-011,   2.2891E-011,   3.4241E-011,   3.1599E-009,   1.5077E-009,   1.5427E-013,   8.2094E-012,   4.6906E-013,  
126.484,   5.1604E-008,   2.4454E-006,   3.3722E-011,   2.3087E-011,   2.5720E-011,   3.3523E-009,   1.7967E-009,   4.8690E-013,   7.9250E-012,   9.7914E-013,  
132.562,   5.0489E-008,   2.4523E-006,   9.1386E-012,   2.1365E-011,   2.2366E-011,   3.4345E-009,   1.5989E-009,   1.4892E-013,   8.8774E-012,   5.2881E-013,  
138.578,   4.7354E-008,   2.4487E-006,   3.2872E-011,   2.1947E-011,   2.2651E-011,   3.5194E-009,   1.6685E-009,   4.4855E-013,   6.4081E-012,   6.2779E-013,  
144.656,   5.0267E-008,   2.4509E-006,   3.4303E-011,   2.2295E-011,   2.1239E-011,   3.1427E-009,   1.7263E-009,   4.4855E-013,   6.6774E-012,   4.9046E-013,  
150.656,   4.9440E-008,   2.4487E-006,   3.3939E-011,   2.1038E-011,   2.2370E-011,   3.2005E-009,   1.6323E-009,   1.3020E-013,   8.1595E-012,   6.9735E-013,  
156.687,   4.6939E-008,   2.4575E-006,   3.4620E-011,   2.1583E-011,   2.2305E-011,   3.2764E-009,   1.7931E-009,   2.8893E-013,   8.5367E-012,   3.5046E-013,  
162.734,   5.0095E-008,   2.4446E-006,   3.4265E-011,   2.1159E-011,   2.0610E-011,   2.9313E-009,   1.5483E-009,   6.4563E-013,   8.1131E-012,  -1.6676E-013,  
168.797,   4.9894E-008,   2.5072E-006,   1.1490E-011,   2.1123E-011,   2.1312E-011,   3.1554E-009,   1.6929E-009,   3.5046E-013,   7.8554E-012,   6.7951E-013,  
174.843,   5.0979E-008,   2.5111E-006,   3.2777E-011,   2.2224E-011,   2.2798E-011,   3.1210E-009,   1.6016E-009,   2.8804E-013,   7.9642E-012,   5.5021E-013,  
180.828,   5.3111E-008,   2.5032E-006,   3.2805E-011,   2.1527E-011,   2.2292E-011,   3.2313E-009,   1.8067E-009,   7.4015E-013,   7.3382E-012,   9.0780E-013,  
186.843,   5.1280E-008,   2.5173E-006,   7.1590E-012,   2.2130E-011,   2.1571E-011,   3.3306E-009,   1.5781E-009,   1.8994E-013,   7.0413E-012,   3.7275E-013,  
192.890,   5.1707E-008,   2.4855E-006,   3.5274E-011,   2.1793E-011,   2.1188E-011,   3.1906E-009,   1.5556E-009,   4.8600E-013,   7.5594E-012,   4.1556E-013,  
198.890,   5.0639E-008,   2.5127E-006,   9.2956E-012,   2.0913E-011,   2.1579E-011,   3.4101E-009,   1.6287E-009,   6.1352E-013,   7.6646E-012,   5.2702E-013,  
204.953,   4.9182E-008,   2.4977E-006,   3.3731E-011,   2.1180E-011,   2.1270E-011,   3.2249E-009,   1.4752E-009,  -1.2841E-013,   7.4149E-012,   7.4639E-013,  
