Jul 29, 2026  03:22:47 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   1.95E-012, 
  1.10,   1.80E-012, 
  1.20,  -1.17E-013, 
  1.30,   2.39E-012, 
  1.40,   4.39E-012, 
  1.50,   1.00E-011, 
  1.60,   2.66E-011, 
  1.70,   4.15E-011, 
  1.80,   5.02E-011, 
  1.90,   5.70E-011, 
  2.00,   6.40E-011, 
  2.10,   6.70E-011, 
  2.20,   6.13E-011, 
  2.30,   4.20E-011, 
  2.40,   1.56E-011, 
  2.50,   4.07E-012, 
  2.60,   1.50E-012, 
  2.70,   2.14E-012, 
  2.80,   1.53E-012, 
  2.90,  -3.88E-013, 
  3.00,   1.45E-013, 
  3.10,   3.55E-013, 
  3.20,   2.38E-013, 
  3.30,   3.47E-012, 
  3.40,   4.71E-012, 
  3.50,   7.67E-012, 
  3.60,   1.78E-011, 
  3.70,   3.12E-011, 
  3.80,   4.01E-011, 
  3.90,   5.84E-011, 
  4.00,   7.67E-011, 
  4.10,   8.08E-011, 
  4.20,   6.93E-011, 
  4.30,   4.00E-011, 
  4.40,   1.49E-011, 
  4.50,   7.81E-012, 
  4.60,   3.82E-012, 
  4.70,  -4.29E-013, 
  4.80,  -7.51E-013, 
  4.90,  -4.41E-013, 
  5.00,  -2.02E-013, 
  5.10,  -1.86E-013, 
  5.20,  -1.86E-013, 
  5.30,  -1.16E-013, 
  5.40,   3.04E-013, 
  5.50,   1.07E-013, 
  5.60,   1.11E-013, 
  5.70,   3.25E-013, 
  5.80,   1.81E-013, 
  5.90,  -5.35E-015, 
  6.00,  -1.63E-013, 
  6.10,  -1.73E-013, 
  6.20,  -2.65E-013, 
  6.30,  -1.37E-013, 
  6.40,  -2.27E-013, 
  6.50,  -2.14E-014, 
  6.60,   2.68E-014, 
  6.70,   1.25E-013, 
