Jul 30, 2026  02:30:01 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   1.81E-012, 
  1.10,  -1.68E-012, 
  1.20,  -7.59E-013, 
  1.30,   2.90E-012, 
  1.40,   3.13E-012, 
  1.50,   9.76E-012, 
  1.60,   2.81E-011, 
  1.70,   4.39E-011, 
  1.80,   5.35E-011, 
  1.90,   6.25E-011, 
  2.00,   7.02E-011, 
  2.10,   7.29E-011, 
  2.20,   6.69E-011, 
  2.30,   4.56E-011, 
  2.40,   1.52E-011, 
  2.50,   3.90E-012, 
  2.60,   1.54E-012, 
  2.70,   1.91E-012, 
  2.80,   9.23E-013, 
  2.90,  -6.60E-013, 
  3.00,  -3.05E-013, 
  3.10,   4.72E-013, 
  3.20,   6.43E-013, 
  3.30,   3.48E-012, 
  3.40,   5.03E-012, 
  3.50,   7.55E-012, 
  3.60,   1.67E-011, 
  3.70,   3.61E-011, 
  3.80,   4.83E-011, 
  3.90,   6.75E-011, 
  4.00,   8.81E-011, 
  4.10,   9.20E-011, 
  4.20,   7.65E-011, 
  4.30,   4.18E-011, 
  4.40,   1.23E-011, 
  4.50,   3.91E-012, 
  4.60,   4.37E-012, 
  4.70,   2.53E-012, 
  4.80,  -1.19E-012, 
  4.90,  -4.95E-013, 
  5.00,  -3.65E-013, 
  5.10,  -2.30E-013, 
  5.20,  -1.85E-013, 
  5.30,   1.44E-013, 
  5.40,   1.63E-013, 
  5.50,  -2.24E-013, 
  5.60,   1.78E-015, 
  5.70,   1.52E-014, 
  5.80,  -1.05E-013, 
  5.90,  -2.75E-013, 
  6.00,   1.16E-014, 
  6.10,  -2.05E-014, 
  6.20,  -2.34E-013, 
  6.30,  -7.22E-014, 
  6.40,  -6.51E-014, 
  6.50,   1.40E-013, 
  6.60,   5.35E-014, 
  6.70,  -2.90E-013, 
