Jul 31, 2026  10:12:03 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   3.62E-013, 
  1.10,   2.51E-012, 
  1.20,  -4.46E-015, 
  1.30,  -1.98E-012, 
  1.40,  -2.79E-012, 
  1.50,   2.74E-012, 
  1.60,   9.94E-012, 
  1.70,   1.85E-011, 
  1.80,   2.34E-011, 
  1.90,   2.56E-011, 
  2.00,   2.71E-011, 
  2.10,   2.58E-011, 
  2.20,   2.40E-011, 
  2.30,   1.54E-011, 
  2.40,   3.15E-012, 
  2.50,   8.57E-013, 
  2.60,   3.60E-013, 
  2.70,   1.21E-012, 
  2.80,   1.78E-015, 
  2.90,   1.87E-013, 
  3.00,  -7.13E-015, 
  3.10,  -1.43E-014, 
  3.20,   3.39E-014, 
  3.30,   3.18E-013, 
  3.40,   2.50E-013, 
  3.50,   1.91E-012, 
  3.60,   4.68E-012, 
  3.70,   5.40E-012, 
  3.80,   6.53E-012, 
  3.90,   8.62E-012, 
  4.00,   1.06E-011, 
  4.10,   8.69E-012, 
  4.20,   9.19E-012, 
  4.30,   7.90E-012, 
  4.40,   5.90E-012, 
  4.50,   3.15E-012, 
  4.60,  -8.65E-013, 
  4.70,  -9.42E-013, 
  4.80,  -4.00E-013, 
  4.90,  -2.94E-014, 
  5.00,   1.69E-014, 
  5.10,   3.57E-014, 
  5.20,   1.85E-013, 
  5.30,  -5.89E-014, 
  5.40,  -1.37E-013, 
  5.50,   3.50E-013, 
  5.60,   1.52E-013, 
  5.70,   3.75E-014, 
  5.80,  -5.17E-014, 
  5.90,  -2.18E-013, 
  6.00,  -2.01E-013, 
  6.10,  -3.73E-013, 
  6.20,   1.19E-013, 
  6.30,   5.84E-013, 
  6.40,   3.78E-013, 
  6.50,   1.01E-013, 
  6.60,   1.52E-013, 
  6.70,   3.12E-014, 
