Jul 31, 2026  10:23:34 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   4.69E-009, 
  1.10,   5.56E-009, 
  1.20,   7.15E-009, 
  1.30,   8.94E-009, 
  1.40,   1.14E-008, 
  1.50,   1.43E-008, 
  1.60,   1.49E-008, 
  1.70,   1.24E-008, 
  1.80,   1.02E-008, 
  1.90,   8.91E-009, 
  2.00,   8.53E-009, 
  2.10,   8.46E-009, 
  2.20,   8.29E-009, 
  2.30,   7.06E-009, 
  2.40,   4.22E-009, 
  2.50,   2.08E-009, 
  2.60,   1.21E-009, 
  2.70,   7.50E-010, 
  2.80,   4.00E-010, 
  2.90,   2.70E-010, 
  3.00,   1.95E-010, 
  3.10,   6.05E-011, 
  3.20,  -2.97E-010, 
  3.30,   4.35E-010, 
  3.40,   5.71E-010, 
  3.50,   1.24E-009, 
  3.60,   3.41E-009, 
  3.70,   6.85E-009, 
  3.80,   9.26E-009, 
  3.90,   1.26E-008, 
  4.00,   1.69E-008, 
  4.10,   2.06E-008, 
  4.20,   2.01E-008, 
  4.30,   1.50E-008, 
  4.40,   7.04E-009, 
  4.50,   3.29E-009, 
  4.60,   1.80E-009, 
  4.70,   1.04E-009, 
  4.80,   6.56E-010, 
  4.90,   4.53E-010, 
  5.00,   1.98E-010, 
  5.10,   1.43E-010, 
  5.20,  -4.99E-010, 
  5.30,  -2.83E-010, 
  5.40,   1.28E-010, 
  5.50,   3.32E-010, 
  5.60,   1.76E-010, 
  5.70,  -2.64E-010, 
  5.80,   9.21E-011, 
  5.90,  -9.76E-011, 
  6.00,  -3.15E-010, 
  6.10,   6.96E-011, 
  6.20,   3.73E-010, 
  6.30,  -3.43E-011, 
  6.40,  -2.73E-010, 
  6.50,   3.07E-011, 
  6.60,   2.26E-010, 
  6.70,  -2.49E-010, 
