Aug 04, 2026  11:17:41 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   5.56E-009, 
  1.10,   6.62E-009, 
  1.20,   8.14E-009, 
  1.30,   1.05E-008, 
  1.40,   1.36E-008, 
  1.50,   1.69E-008, 
  1.60,   1.66E-008, 
  1.70,   1.34E-008, 
  1.80,   1.06E-008, 
  1.90,   8.80E-009, 
  2.00,   8.32E-009, 
  2.10,   8.07E-009, 
  2.20,   8.12E-009, 
  2.30,   7.27E-009, 
  2.40,   4.47E-009, 
  2.50,   2.10E-009, 
  2.60,   1.12E-009, 
  2.70,   6.02E-010, 
  2.80,   2.65E-010, 
  2.90,  -1.04E-010, 
  3.00,  -2.89E-010, 
  3.10,  -4.43E-011, 
  3.20,   3.50E-010, 
  3.30,  -3.94E-010, 
  3.40,  -1.83E-010, 
  3.50,   4.68E-010, 
  3.60,   7.71E-010, 
  3.70,   1.15E-009, 
  3.80,   1.41E-009, 
  3.90,   1.63E-009, 
  4.00,   2.18E-009, 
  4.10,   2.58E-009, 
  4.20,   2.67E-009, 
  4.30,   2.34E-009, 
  4.40,   1.16E-009, 
  4.50,   5.65E-010, 
  4.60,  -1.16E-010, 
  4.70,  -1.32E-010, 
  4.80,   2.98E-010, 
  4.90,  -4.61E-010, 
  5.00,   1.89E-010, 
  5.10,  -1.56E-010, 
  5.20,  -4.12E-010, 
  5.30,  -2.80E-010, 
  5.40,  -3.25E-011, 
  5.50,   3.43E-010, 
  5.60,  -1.15E-010, 
  5.70,  -1.77E-010, 
  5.80,  -5.87E-011, 
  5.90,  -3.37E-010, 
  6.00,  -3.56E-010, 
  6.10,  -4.16E-010, 
  6.20,  -2.84E-010, 
  6.30,   1.08E-010, 
  6.40,   2.55E-010, 
  6.50,   2.00E-010, 
  6.60,  -1.91E-010, 
  6.70,  -4.73E-010, 
