Aug 04, 2026  02:59:13 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   2.92E-013, 
  1.10,   4.00E-013, 
  1.20,   6.22E-013, 
  1.30,   1.63E-012, 
  1.40,   2.07E-012, 
  1.50,   4.17E-012, 
  1.60,   7.47E-012, 
  1.70,   9.49E-012, 
  1.80,   1.20E-011, 
  1.90,   1.45E-011, 
  2.00,   1.62E-011, 
  2.10,   1.62E-011, 
  2.20,   1.49E-011, 
  2.30,   1.05E-011, 
  2.40,   4.16E-012, 
  2.50,   1.95E-012, 
  2.60,   6.16E-013, 
  2.70,   1.75E-012, 
  2.80,   2.92E-012, 
  2.90,  -5.34E-013, 
  3.00,   2.26E-013, 
  3.10,   1.81E-012, 
  3.20,   5.01E-012, 
  3.30,   5.78E-012, 
  3.40,   1.19E-011, 
  3.50,   3.64E-011, 
  3.60,   9.24E-011, 
  3.70,   1.35E-010, 
  3.80,   1.68E-010, 
  3.90,   2.38E-010, 
  4.00,   2.79E-010, 
  4.10,   2.67E-010, 
  4.20,   2.01E-010, 
  4.30,   8.62E-011, 
  4.40,   1.97E-011, 
  4.50,   6.60E-012, 
  4.60,   5.92E-012, 
  4.70,   3.24E-012, 
  4.80,  -8.00E-013, 
  4.90,  -1.33E-013, 
  5.00,   1.36E-013, 
  5.10,   7.13E-014, 
  5.20,  -1.89E-013, 
  5.30,   1.05E-013, 
  5.40,   6.42E-014, 
  5.50,   5.40E-013, 
  5.60,   1.05E-013, 
  5.70,  -2.51E-013, 
  5.80,  -1.97E-013, 
  5.90,   6.24E-015, 
  6.00,   6.60E-014, 
  6.10,   1.70E-013, 
  6.20,   1.34E-013, 
  6.30,  -8.47E-014, 
  6.40,  -6.51E-014, 
  6.50,   6.15E-014, 
  6.60,   1.71E-013, 
  6.70,   1.05E-013, 
