Aug 04, 2026  03:22:07 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,  -8.92E-015, 
  1.10,   1.39E-012, 
  1.20,   3.58E-013, 
  1.30,   1.48E-012, 
  1.40,   2.35E-012, 
  1.50,   1.27E-011, 
  1.60,   3.88E-011, 
  1.70,   5.62E-011, 
  1.80,   6.65E-011, 
  1.90,   7.46E-011, 
  2.00,   8.32E-011, 
  2.10,   8.37E-011, 
  2.20,   7.41E-011, 
  2.30,   4.71E-011, 
  2.40,   1.43E-011, 
  2.50,   4.06E-012, 
  2.60,   1.51E-012, 
  2.70,   2.54E-012, 
  2.80,  -4.26E-013, 
  2.90,  -2.63E-013, 
  3.00,  -1.39E-013, 
  3.10,   1.96E-013, 
  3.20,   4.37E-013, 
  3.30,   1.97E-012, 
  3.40,   3.67E-012, 
  3.50,   4.64E-012, 
  3.60,   9.13E-012, 
  3.70,   1.21E-011, 
  3.80,   1.74E-011, 
  3.90,   2.64E-011, 
  4.00,   3.59E-011, 
  4.10,   3.71E-011, 
  4.20,   3.18E-011, 
  4.30,   1.87E-011, 
  4.40,   9.29E-012, 
  4.50,   4.95E-012, 
  4.60,   2.21E-012, 
  4.70,  -1.71E-012, 
  4.80,  -9.41E-013, 
  4.90,  -5.09E-013, 
  5.00,  -2.14E-013, 
  5.10,   2.59E-014, 
  5.20,   1.87E-014, 
  5.30,  -1.37E-013, 
  5.40,  -9.45E-014, 
  5.50,   2.54E-013, 
  5.60,   2.15E-013, 
  5.70,   8.20E-014, 
  5.80,  -8.65E-014, 
  5.90,  -4.64E-014, 
  6.00,   1.26E-013, 
  6.10,   2.10E-013, 
  6.20,   3.12E-013, 
  6.30,  -1.96E-013, 
  6.40,  -3.58E-013, 
  6.50,  -1.21E-013, 
  6.60,   4.90E-014, 
  6.70,  -4.64E-014, 
