Aug 06, 2026  10:20:36 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.00E-004 
Filament Current, 1.00, mAmps


  1.00,  -1.43E-013, 
  1.10,   3.04E-012, 
  1.20,  -1.34E-012, 
  1.30,  -6.00E-013, 
  1.40,   1.23E-012, 
  1.50,   1.93E-012, 
  1.60,   2.10E-012, 
  1.70,   1.99E-012, 
  1.80,   2.01E-012, 
  1.90,   2.82E-012, 
  2.00,   4.08E-012, 
  2.10,   3.85E-012, 
  2.20,   3.34E-012, 
  2.30,   3.25E-012, 
  2.40,   1.85E-012, 
  2.50,   2.38E-013, 
  2.60,   6.51E-014, 
  2.70,   5.64E-013, 
  2.80,  -2.27E-013, 
  2.90,  -1.09E-013, 
  3.00,  -6.78E-014, 
  3.10,  -5.08E-014, 
  3.20,   1.43E-014, 
  3.30,  -1.11E-013, 
  3.40,  -8.29E-014, 
  3.50,   1.67E-013, 
  3.60,   2.82E-012, 
  3.70,   2.88E-012, 
  3.80,   2.50E-012, 
  3.90,   2.80E-012, 
  4.00,   3.14E-012, 
  4.10,   4.16E-012, 
  4.20,   4.48E-012, 
  4.30,   3.99E-012, 
  4.40,   2.77E-012, 
  4.50,   1.51E-013, 
  4.60,  -1.47E-012, 
  4.70,  -1.06E-012, 
  4.80,  -6.41E-013, 
  4.90,  -4.66E-013, 
  5.00,  -3.52E-013, 
  5.10,  -2.21E-013, 
  5.20,  -8.74E-014, 
  5.30,  -1.61E-014, 
  5.40,  -3.57E-014, 
  5.50,   9.19E-014, 
  5.60,  -2.61E-013, 
  5.70,  -1.88E-013, 
  5.80,  -1.43E-014, 
  5.90,  -9.19E-014, 
  6.00,  -8.38E-014, 
  6.10,   1.05E-013, 
  6.20,   2.30E-013, 
  6.30,   1.72E-013, 
  6.40,  -1.43E-014, 
  6.50,   1.05E-013, 
  6.60,  -7.85E-014, 
