Aug 06, 2026  10:44:28 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   9.20E-013, 
  1.10,   4.62E-012, 
  1.20,  -4.10E-013, 
  1.30,   2.33E-012, 
  1.40,   1.08E-011, 
  1.50,   1.47E-010, 
  1.60,   3.31E-010, 
  1.70,   4.23E-010, 
  1.80,   5.04E-010, 
  1.90,   5.67E-010, 
  2.00,   6.05E-010, 
  2.10,   6.02E-010, 
  2.20,   5.09E-010, 
  2.30,   2.97E-010, 
  2.40,   5.15E-011, 
  2.50,   8.67E-012, 
  2.60,   3.42E-012, 
  2.70,   4.48E-012, 
  2.80,   2.41E-012, 
  2.90,  -1.42E-012, 
  3.00,  -5.80E-013, 
  3.10,  -2.78E-013, 
  3.20,  -1.30E-013, 
  3.30,   9.36E-014, 
  3.40,   5.35E-014, 
  3.50,   1.34E-013, 
  3.60,   2.29E-012, 
  3.70,   3.70E-012, 
  3.80,   3.00E-012, 
  3.90,   2.59E-012, 
  4.00,   2.78E-012, 
  4.10,   3.13E-012, 
  4.20,   3.04E-012, 
  4.30,   2.29E-012, 
  4.40,  -6.41E-013, 
  4.50,  -1.23E-012, 
  4.60,  -8.08E-013, 
  4.70,  -4.17E-013, 
  4.80,  -3.75E-013, 
  4.90,  -1.12E-013, 
  5.00,  -1.19E-013, 
  5.10,   1.38E-013, 
  5.20,   2.14E-013, 
  5.30,  -1.96E-014, 
  5.40,  -1.87E-014, 
  5.50,   2.41E-014, 
  5.60,  -1.52E-013, 
  5.70,  -8.56E-014, 
  5.80,  -2.07E-013, 
  5.90,  -1.25E-014, 
  6.00,  -1.45E-013, 
  6.10,  -2.09E-013, 
  6.20,  -1.21E-013, 
  6.30,  -2.94E-014, 
  6.40,   2.76E-014, 
  6.50,   2.08E-013, 
  6.60,   1.74E-013, 
  6.70,   1.87E-014, 
