Aug 06, 2026  10:59:56 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   1.41E-009, 
  1.10,   1.83E-009, 
  1.20,   2.12E-009, 
  1.30,   2.92E-009, 
  1.40,   3.79E-009, 
  1.50,   4.69E-009, 
  1.60,   4.78E-009, 
  1.70,   4.18E-009, 
  1.80,   3.76E-009, 
  1.90,   3.16E-009, 
  2.00,   3.00E-009, 
  2.10,   3.03E-009, 
  2.20,   2.98E-009, 
  2.30,   2.75E-009, 
  2.40,   2.03E-009, 
  2.50,   1.18E-009, 
  2.60,   7.59E-010, 
  2.70,   5.54E-010, 
  2.80,   4.83E-010, 
  2.90,   4.16E-010, 
  3.00,   3.14E-010, 
  3.10,  -3.53E-010, 
  3.20,   2.17E-010, 
  3.30,   7.32E-011, 
  3.40,  -2.27E-010, 
  3.50,   4.84E-010, 
  3.60,   5.99E-010, 
  3.70,   8.99E-010, 
  3.80,   1.24E-009, 
  3.90,   1.66E-009, 
  4.00,   2.41E-009, 
  4.10,   2.88E-009, 
  4.20,   3.17E-009, 
  4.30,   2.91E-009, 
  4.40,   1.92E-009, 
  4.50,   1.08E-009, 
  4.60,   6.46E-010, 
  4.70,   4.90E-010, 
  4.80,   2.97E-010, 
  4.90,  -7.59E-011, 
  5.00,  -8.22E-011, 
  5.10,   4.72E-010, 
  5.20,   3.69E-010, 
  5.30,   2.74E-010, 
  5.40,  -3.64E-010, 
  5.50,   2.60E-010, 
  5.60,   4.08E-010, 
  5.70,   4.35E-010, 
  5.80,   4.56E-010, 
  5.90,  -2.71E-011, 
  6.00,  -2.28E-010, 
  6.10,   4.56E-010, 
  6.20,   3.49E-010, 
  6.30,  -1.14E-010, 
  6.40,  -3.35E-010, 
  6.50,  -2.56E-010, 
  6.60,  -2.80E-011, 
  6.70,   4.41E-010, 
