Aug 06, 2026  01:03:11 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   5.53E-013, 
  1.10,   3.87E-012, 
  1.20,   2.76E-014, 
  1.30,   1.23E-012, 
  1.40,   3.55E-012, 
  1.50,   2.08E-011, 
  1.60,   5.51E-011, 
  1.70,   7.85E-011, 
  1.80,   9.20E-011, 
  1.90,   1.03E-010, 
  2.00,   1.14E-010, 
  2.10,   1.15E-010, 
  2.20,   1.03E-010, 
  2.30,   6.27E-011, 
  2.40,   1.92E-011, 
  2.50,   5.67E-012, 
  2.60,   2.98E-012, 
  2.70,   2.40E-012, 
  2.80,   4.75E-012, 
  2.90,   4.50E-012, 
  3.00,   4.05E-012, 
  3.10,   5.33E-012, 
  3.20,   8.41E-012, 
  3.30,   1.53E-011, 
  3.40,   4.11E-011, 
  3.50,   1.48E-010, 
  3.60,   3.15E-010, 
  3.70,   4.31E-010, 
  3.80,   5.27E-010, 
  3.90,   7.39E-010, 
  4.00,   8.78E-010, 
  4.10,   8.40E-010, 
  4.20,   6.33E-010, 
  4.30,   2.39E-010, 
  4.40,   3.54E-011, 
  4.50,   1.06E-011, 
  4.60,   4.81E-012, 
  4.70,   2.40E-012, 
  4.80,   2.32E-014, 
  4.90,  -1.24E-012, 
  5.00,  -7.52E-013, 
  5.10,   2.68E-014, 
  5.20,   5.08E-014, 
  5.30,   1.74E-013, 
  5.40,   2.97E-013, 
  5.50,   4.00E-013, 
  5.60,   3.17E-013, 
  5.70,  -4.99E-014, 
  5.80,   1.67E-013, 
  5.90,   5.62E-014, 
  6.00,   1.16E-014, 
  6.10,   8.03E-015, 
  6.20,  -2.43E-013, 
  6.30,  -2.05E-013, 
  6.40,  -1.69E-014, 
  6.50,  -3.57E-015, 
  6.60,  -2.63E-013, 
  6.70,  -2.28E-013, 
