Aug 06, 2026  02:25:28 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   6.02E-013, 
  1.10,   8.20E-013, 
  1.20,   9.93E-013, 
  1.30,   4.44E-012, 
  1.40,   1.17E-011, 
  1.50,   1.37E-010, 
  1.60,   3.05E-010, 
  1.70,   4.12E-010, 
  1.80,   4.82E-010, 
  1.90,   5.52E-010, 
  2.00,   6.08E-010, 
  2.10,   6.23E-010, 
  2.20,   5.64E-010, 
  2.30,   3.39E-010, 
  2.40,   8.60E-011, 
  2.50,   1.17E-011, 
  2.60,   4.06E-012, 
  2.70,   3.53E-012, 
  2.80,   3.49E-012, 
  2.90,   9.19E-013, 
  3.00,  -7.11E-013, 
  3.10,  -3.63E-013, 
  3.20,   4.37E-014, 
  3.30,   4.39E-013, 
  3.40,   1.59E-012, 
  3.50,   1.80E-012, 
  3.60,   3.24E-012, 
  3.70,   6.21E-012, 
  3.80,   9.09E-012, 
  3.90,   1.26E-011, 
  4.00,   1.75E-011, 
  4.10,   1.93E-011, 
  4.20,   1.72E-011, 
  4.30,   1.11E-011, 
  4.40,   4.73E-012, 
  4.50,   1.90E-012, 
  4.60,   3.29E-012, 
  4.70,  -8.54E-013, 
  4.80,  -4.98E-013, 
  4.90,  -2.42E-013, 
  5.00,   8.20E-014, 
  5.10,   1.33E-013, 
  5.20,  -6.60E-014, 
  5.30,  -4.46E-014, 
  5.40,  -4.90E-013, 
  5.50,   3.57E-014, 
  5.60,   6.33E-014, 
  5.70,  -2.68E-015, 
  5.80,  -1.61E-013, 
  5.90,  -1.12E-013, 
  6.00,  -9.10E-014, 
  6.10,   1.25E-014, 
  6.20,   2.85E-014, 
  6.30,   3.27E-013, 
  6.40,   5.89E-014, 
  6.50,  -3.98E-013, 
  6.60,  -1.95E-013, 
  6.70,  -1.84E-013, 
