Aug 07, 2026  09:48:05 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   7.67E-014, 
  1.10,   2.73E-012, 
  1.20,  -9.75E-013, 
  1.30,  -9.88E-013, 
  1.40,   2.68E-012, 
  1.50,   2.08E-012, 
  1.60,   1.65E-012, 
  1.70,   4.30E-013, 
  1.80,   5.91E-013, 
  1.90,   4.18E-013, 
  2.00,   1.34E-012, 
  2.10,   1.89E-012, 
  2.20,   2.15E-012, 
  2.30,   2.67E-012, 
  2.40,   1.70E-012, 
  2.50,   6.78E-013, 
  2.60,   9.81E-015, 
  2.70,  -2.89E-013, 
  2.80,  -5.35E-014, 
  2.90,   7.76E-014, 
  3.00,  -8.92E-016, 
  3.10,  -3.21E-014, 
  3.20,  -1.35E-013, 
  3.30,   5.62E-014, 
  3.40,   1.16E-013, 
  3.50,   2.26E-012, 
  3.60,   3.96E-012, 
  3.70,   4.41E-012, 
  3.80,   5.10E-012, 
  3.90,   6.45E-012, 
  4.00,   5.38E-012, 
  4.10,   7.95E-012, 
  4.20,   9.09E-012, 
  4.30,   1.07E-011, 
  4.40,   6.19E-012, 
  4.50,   2.77E-012, 
  4.60,  -1.42E-012, 
  4.70,  -7.84E-013, 
  4.80,  -4.85E-013, 
  4.90,  -1.80E-013, 
  5.00,  -2.12E-013, 
  5.10,  -3.46E-013, 
  5.20,  -2.35E-013, 
  5.30,   1.13E-013, 
  5.40,  -6.24E-015, 
  5.50,  -2.11E-013, 
  5.60,  -2.84E-013, 
  5.70,  -3.00E-013, 
  5.80,  -9.01E-014, 
  5.90,  -1.45E-013, 
  6.00,  -2.34E-013, 
  6.10,  -2.41E-013, 
  6.20,  -1.61E-013, 
  6.30,  -1.80E-013, 
  6.40,  -2.26E-013, 
  6.50,  -2.69E-013, 
  6.60,  -2.70E-013, 
