Aug 07, 2026  10:23:25 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   2.66E-009, 
  1.10,   2.83E-009, 
  1.20,   3.52E-009, 
  1.30,   4.67E-009, 
  1.40,   6.00E-009, 
  1.50,   7.70E-009, 
  1.60,   7.89E-009, 
  1.70,   6.49E-009, 
  1.80,   5.22E-009, 
  1.90,   4.53E-009, 
  2.00,   4.04E-009, 
  2.10,   3.88E-009, 
  2.20,   3.90E-009, 
  2.30,   3.92E-009, 
  2.40,   3.14E-009, 
  2.50,   1.69E-009, 
  2.60,   9.26E-010, 
  2.70,   5.68E-010, 
  2.80,   3.37E-010, 
  2.90,  -3.77E-010, 
  3.00,  -1.24E-010, 
  3.10,   4.00E-010, 
  3.20,   2.81E-010, 
  3.30,   3.07E-010, 
  3.40,   3.79E-010, 
  3.50,   8.70E-010, 
  3.60,   2.20E-009, 
  3.70,   4.42E-009, 
  3.80,   6.50E-009, 
  3.90,   8.12E-009, 
  4.00,   1.16E-008, 
  4.10,   1.45E-008, 
  4.20,   1.58E-008, 
  4.30,   1.36E-008, 
  4.40,   7.98E-009, 
  4.50,   3.79E-009, 
  4.60,   1.87E-009, 
  4.70,   1.08E-009, 
  4.80,   7.24E-010, 
  4.90,   4.57E-010, 
  5.00,   9.21E-011, 
  5.10,  -2.30E-010, 
  5.20,  -1.41E-010, 
  5.30,   4.96E-010, 
  5.40,   4.97E-010, 
  5.50,   2.56E-010, 
  5.60,  -2.10E-010, 
  5.70,   2.49E-010, 
  5.80,   1.45E-010, 
  5.90,  -1.92E-010, 
  6.00,   5.42E-010, 
  6.10,   4.61E-010, 
  6.20,   2.38E-010, 
  6.30,  -4.78E-010, 
  6.40,  -3.75E-010, 
  6.50,   2.29E-010, 
  6.60,   3.07E-010, 
  6.70,  -1.70E-010, 
