Aug 07, 2026  01:41:15 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,  -3.88E-012, 
  1.10,  -3.36E-012, 
  1.20,   1.47E-012, 
  1.30,   2.89E-012, 
  1.40,   3.01E-012, 
  1.50,   6.58E-012, 
  1.60,   1.33E-011, 
  1.70,   1.89E-011, 
  1.80,   2.03E-011, 
  1.90,   2.05E-011, 
  2.00,   2.31E-011, 
  2.10,   2.31E-011, 
  2.20,   2.07E-011, 
  2.30,   1.44E-011, 
  2.40,   6.27E-012, 
  2.50,   2.81E-012, 
  2.60,   2.14E-012, 
  2.70,   3.63E-012, 
  2.80,   4.51E-012, 
  2.90,   3.68E-012, 
  3.00,   3.90E-012, 
  3.10,   5.11E-012, 
  3.20,   8.44E-012, 
  3.30,   1.60E-011, 
  3.40,   4.27E-011, 
  3.50,   1.63E-010, 
  3.60,   3.41E-010, 
  3.70,   4.58E-010, 
  3.80,   5.70E-010, 
  3.90,   7.96E-010, 
  4.00,   9.24E-010, 
  4.10,   8.75E-010, 
  4.20,   6.55E-010, 
  4.30,   2.27E-010, 
  4.40,   2.59E-011, 
  4.50,   6.76E-012, 
  4.60,   4.10E-012, 
  4.70,   3.93E-012, 
  4.80,   1.38E-012, 
  4.90,  -1.10E-012, 
  5.00,  -5.01E-013, 
  5.10,   5.35E-014, 
  5.20,  -1.13E-013, 
  5.30,   2.14E-013, 
  5.40,   1.28E-013, 
  5.50,  -2.47E-013, 
  5.60,  -7.58E-014, 
  5.70,   1.22E-013, 
  5.80,   1.77E-013, 
  5.90,   5.44E-014, 
  6.00,   3.16E-013, 
  6.10,   3.35E-013, 
  6.20,   2.85E-013, 
  6.30,   3.13E-013, 
  6.40,   9.27E-014, 
  6.50,   1.70E-013, 
  6.60,   2.29E-013, 
  6.70,   1.03E-013, 
