Aug 07, 2026  01:55:02 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   1.89E-012, 
  1.10,   1.77E-012, 
  1.20,   2.26E-013, 
  1.30,   2.72E-012, 
  1.40,   9.57E-012, 
  1.50,   1.12E-010, 
  1.60,   2.53E-010, 
  1.70,   3.27E-010, 
  1.80,   3.80E-010, 
  1.90,   4.45E-010, 
  2.00,   4.88E-010, 
  2.10,   4.86E-010, 
  2.20,   4.20E-010, 
  2.30,   2.26E-010, 
  2.40,   4.84E-011, 
  2.50,   8.41E-012, 
  2.60,   3.33E-012, 
  2.70,   2.63E-012, 
  2.80,   3.22E-012, 
  2.90,   1.45E-012, 
  3.00,  -9.95E-013, 
  3.10,  -1.10E-013, 
  3.20,   1.89E-012, 
  3.30,   4.89E-012, 
  3.40,   6.48E-012, 
  3.50,   1.43E-011, 
  3.60,   4.26E-011, 
  3.70,   6.93E-011, 
  3.80,   8.68E-011, 
  3.90,   1.22E-010, 
  4.00,   1.46E-010, 
  4.10,   1.44E-010, 
  4.20,   1.11E-010, 
  4.30,   5.06E-011, 
  4.40,   1.25E-011, 
  4.50,   4.07E-012, 
  4.60,   4.29E-012, 
  4.70,   2.03E-012, 
  4.80,  -1.03E-012, 
  4.90,  -5.40E-013, 
  5.00,  -8.74E-014, 
  5.10,   1.69E-013, 
  5.20,  -6.78E-014, 
  5.30,   7.58E-014, 
  5.40,   1.88E-013, 
  5.50,   5.89E-014, 
  5.60,   1.81E-013, 
  5.70,   4.40E-013, 
  5.80,   5.04E-013, 
  5.90,  -9.81E-014, 
  6.00,  -2.68E-013, 
  6.10,  -1.65E-013, 
  6.20,  -1.85E-013, 
  6.30,  -1.67E-013, 
  6.40,  -2.80E-013, 
  6.50,  -1.09E-013, 
  6.60,  -1.36E-013, 
  6.70,  -6.51E-014, 
