Aug 11, 2026  12:59:38 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   1.00E-008, 
  1.10,   1.52E-008, 
  1.20,   2.88E-007, 
  1.30,   1.24E-006, 
  1.40,   7.20E-007, 
  1.50,   1.81E-007, 
  1.60,   2.23E-007, 
  1.70,   2.73E-007, 
  1.80,   3.02E-007, 
  1.90,   3.26E-007, 
  2.00,   3.51E-007, 
  2.10,   3.37E-007, 
  2.20,   3.31E-007, 
  2.30,   2.62E-007, 
  2.40,   1.26E-007, 
  2.50,   2.33E-008, 
  2.60,   8.20E-009, 
  2.70,   4.26E-009, 
  2.80,   2.54E-009, 
  2.90,   1.68E-009, 
  3.00,   1.34E-009, 
  3.10,   1.16E-009, 
  3.20,   7.53E-010, 
  3.30,   5.87E-010, 
  3.40,   3.97E-011, 
  3.50,  -1.78E-010, 
  3.60,  -1.36E-010, 
  3.70,  -6.14E-011, 
  3.80,  -1.58E-010, 
  3.90,   2.97E-010, 
  4.00,   4.39E-010, 
  4.10,  -2.27E-010, 
  4.20,  -1.56E-010, 
  4.30,   3.89E-010, 
  4.40,   3.88E-010, 
  4.50,  -2.39E-010, 
  4.60,   6.32E-011, 
  4.70,   4.73E-010, 
  4.80,  -2.10E-010, 
  4.90,  -1.46E-010, 
  5.00,  -1.54E-010, 
  5.10,  -7.41E-011, 
  5.20,   4.63E-010, 
  5.30,  -2.87E-010, 
  5.40,  -2.71E-012, 
  5.50,   4.16E-010, 
  5.60,  -3.62E-010, 
  5.70,  -2.64E-010, 
  5.80,  -1.27E-010, 
  5.90,   8.49E-011, 
  6.00,   4.37E-010, 
  6.10,   4.88E-011, 
  6.20,   9.76E-011, 
  6.30,   1.80E-010, 
  6.40,  -2.78E-010, 
  6.50,  -2.81E-010, 
  6.60,  -1.12E-010, 
  6.70,  -1.53E-010, 
