Aug 11, 2026  02:52:00 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   6.12E-009, 
  1.10,   7.12E-009, 
  1.20,   9.16E-009, 
  1.30,   1.33E-008, 
  1.40,   1.85E-008, 
  1.50,   2.16E-008, 
  1.60,   2.08E-008, 
  1.70,   1.91E-008, 
  1.80,   1.83E-008, 
  1.90,   1.82E-008, 
  2.00,   1.84E-008, 
  2.10,   1.96E-008, 
  2.20,   1.93E-008, 
  2.30,   1.84E-008, 
  2.40,   1.43E-008, 
  2.50,   7.26E-009, 
  2.60,   3.20E-009, 
  2.70,   1.65E-009, 
  2.80,   7.83E-010, 
  2.90,   4.02E-010, 
  3.00,   1.60E-010, 
  3.10,  -2.98E-011, 
  3.20,  -3.70E-010, 
  3.30,  -3.43E-010, 
  3.40,   1.20E-010, 
  3.50,  -2.42E-010, 
  3.60,   3.98E-010, 
  3.70,   1.78E-009, 
  3.80,   3.36E-009, 
  3.90,   4.53E-009, 
  4.00,   6.19E-009, 
  4.10,   7.87E-009, 
  4.20,   8.86E-009, 
  4.30,   8.31E-009, 
  4.40,   5.96E-009, 
  4.50,   3.03E-009, 
  4.60,   1.37E-009, 
  4.70,   6.96E-010, 
  4.80,   4.10E-010, 
  4.90,   2.35E-010, 
  5.00,   1.21E-010, 
  5.10,   9.03E-013, 
  5.20,   2.08E-011, 
  5.30,  -2.27E-010, 
  5.40,  -4.20E-010, 
  5.50,  -3.92E-010, 
  5.60,  -5.75E-010, 
  5.70,  -4.23E-010, 
  5.80,  -1.92E-010, 
  5.90,   1.73E-010, 
  6.00,  -1.81E-012, 
  6.10,  -3.01E-010, 
  6.20,  -4.75E-010, 
  6.30,  -2.10E-010, 
  6.40,   1.29E-010, 
  6.50,  -6.58E-010, 
  6.60,  -5.70E-010, 
  6.70,  -3.97E-010, 
