Aug 11, 2026  03:19:13 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,  -2.99E-012, 
  1.10,   8.34E-013, 
  1.20,   4.53E-013, 
  1.30,  -5.22E-011, 
  1.40,  -8.95E-011, 
  1.50,  -3.42E-011, 
  1.60,  -1.15E-011, 
  1.70,  -9.30E-012, 
  1.80,  -1.26E-011, 
  1.90,  -1.57E-011, 
  2.00,  -2.18E-011, 
  2.10,  -2.36E-011, 
  2.20,  -2.47E-011, 
  2.30,  -3.03E-011, 
  2.40,  -2.88E-011, 
  2.50,  -8.66E-012, 
  2.60,  -3.03E-012, 
  2.70,  -2.60E-012, 
  2.80,  -2.28E-012, 
  2.90,   7.66E-013, 
  3.00,   7.40E-014, 
  3.10,  -6.24E-015, 
  3.20,  -1.11E-013, 
  3.30,   1.61E-013, 
  3.40,  -6.78E-014, 
  3.50,   2.15E-013, 
  3.60,   7.04E-013, 
  3.70,   4.47E-012, 
  3.80,   2.47E-012, 
  3.90,  -1.59E-012, 
  4.00,  -5.24E-013, 
  4.10,   5.29E-013, 
  4.20,   1.81E-013, 
  4.30,  -2.72E-013, 
  4.40,  -3.23E-012, 
  4.50,   9.28E-013, 
  4.60,   5.34E-013, 
  4.70,   2.97E-013, 
  4.80,  -1.70E-013, 
  4.90,  -8.92E-015, 
  5.00,   2.59E-013, 
  5.10,   1.64E-013, 
  5.20,  -9.10E-014, 
  5.30,   8.03E-015, 
  5.40,   1.04E-013, 
  5.50,  -3.35E-013, 
  5.60,  -2.12E-013, 
  5.70,   9.01E-014, 
  5.80,   6.42E-014, 
  5.90,  -1.81E-013, 
  6.00,   7.94E-014, 
  6.10,   6.15E-014, 
  6.20,   1.93E-013, 
  6.30,   7.49E-014, 
  6.40,  -1.54E-013, 
  6.50,  -3.00E-013, 
  6.60,  -6.92E-013, 
