Aug 11, 2026  03:41:31 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,  -1.84E-012, 
  1.10,  -7.97E-013, 
  1.20,  -1.64E-012, 
  1.30,  -5.69E-011, 
  1.40,  -9.27E-011, 
  1.50,  -3.44E-011, 
  1.60,  -1.14E-011, 
  1.70,  -9.58E-012, 
  1.80,  -1.50E-011, 
  1.90,  -1.83E-011, 
  2.00,  -2.33E-011, 
  2.10,  -2.82E-011, 
  2.20,  -3.06E-011, 
  2.30,  -3.41E-011, 
  2.40,  -2.94E-011, 
  2.50,  -9.32E-012, 
  2.60,  -3.51E-012, 
  2.70,  -1.51E-012, 
  2.80,  -2.69E-012, 
  2.90,   7.50E-013, 
  3.00,   3.50E-013, 
  3.10,   1.27E-013, 
  3.20,  -1.15E-013, 
  3.30,  -2.32E-013, 
  3.40,  -4.22E-013, 
  3.50,  -1.21E-013, 
  3.60,   1.46E-012, 
  3.70,   4.31E-012, 
  3.80,   2.76E-012, 
  3.90,  -1.01E-012, 
  4.00,  -4.07E-013, 
  4.10,   7.70E-013, 
  4.20,   9.59E-013, 
  4.30,   2.94E-013, 
  4.40,  -2.83E-012, 
  4.50,   1.12E-012, 
  4.60,   7.89E-013, 
  4.70,   4.75E-013, 
  4.80,   1.32E-013, 
  4.90,   4.28E-014, 
  5.00,   4.01E-014, 
  5.10,   9.27E-014, 
  5.20,  -6.87E-014, 
  5.30,  -9.10E-014, 
  5.40,  -1.18E-013, 
  5.50,  -2.86E-013, 
  5.60,  -2.42E-013, 
  5.70,   5.71E-014, 
  5.80,  -1.26E-013, 
  5.90,  -2.10E-013, 
  6.00,  -1.33E-013, 
  6.10,   6.06E-014, 
  6.20,  -1.21E-013, 
  6.30,  -2.88E-013, 
  6.40,   4.46E-015, 
  6.50,  -2.93E-013, 
