Aug 12, 2026  05:14:42 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   5.49E-013, 
  1.10,   2.20E-013, 
  1.20,  -1.90E-012, 
  1.30,  -5.94E-011, 
  1.40,  -1.06E-010, 
  1.50,  -4.54E-011, 
  1.60,   3.47E-012, 
  1.70,   1.74E-011, 
  1.80,   2.54E-011, 
  1.90,   2.93E-011, 
  2.00,   3.34E-011, 
  2.10,   3.31E-011, 
  2.20,   3.24E-011, 
  2.30,   2.89E-011, 
  2.40,   1.61E-011, 
  2.50,   2.20E-012, 
  2.60,   7.37E-013, 
  2.70,   5.35E-015, 
  2.80,   6.15E-014, 
  2.90,  -6.47E-013, 
  3.00,   6.78E-014, 
  3.10,   1.69E-014, 
  3.20,  -1.96E-014, 
  3.30,   8.56E-014, 
  3.40,   1.15E-013, 
  3.50,   1.36E-013, 
  3.60,   1.82E-013, 
  3.70,   3.17E-012, 
  3.80,   3.82E-012, 
  3.90,   3.66E-012, 
  4.00,   3.97E-012, 
  4.10,   2.50E-012, 
  4.20,   2.70E-012, 
  4.30,   3.46E-012, 
  4.40,   5.64E-012, 
  4.50,   2.43E-012, 
  4.60,  -1.12E-012, 
  4.70,  -6.73E-013, 
  4.80,  -2.68E-013, 
  4.90,  -6.96E-014, 
  5.00,   3.12E-014, 
  5.10,  -3.12E-014, 
  5.20,   1.26E-013, 
  5.30,   5.80E-014, 
  5.40,   3.12E-014, 
  5.50,  -2.44E-013, 
  5.60,  -1.21E-013, 
  5.70,  -6.69E-014, 
  5.80,  -1.25E-013, 
  5.90,  -4.37E-014, 
  6.00,  -1.15E-013, 
  6.10,  -1.67E-013, 
  6.20,  -1.19E-013, 
  6.30,   2.85E-014, 
  6.40,   1.87E-014, 
  6.50,   1.83E-013, 
  6.60,   2.18E-013, 
  6.70,   3.71E-013, 
