Aug 13, 2026  10:37:52 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   1.36E-012, 
  1.10,  -2.27E-012, 
  1.20,  -1.25E-012, 
  1.30,  -2.84E-013, 
  1.40,   4.97E-013, 
  1.50,   1.10E-012, 
  1.60,   1.41E-012, 
  1.70,   2.55E-012, 
  1.80,   1.66E-012, 
  1.90,   1.26E-012, 
  2.00,   1.93E-012, 
  2.10,   2.07E-012, 
  2.20,   1.80E-012, 
  2.30,   1.43E-012, 
  2.40,   1.38E-012, 
  2.50,   6.18E-013, 
  2.60,   3.28E-013, 
  2.70,   8.20E-014, 
  2.80,  -1.50E-012, 
  2.90,   2.64E-013, 
  3.00,   7.80E-013, 
  3.10,   4.99E-013, 
  3.20,   4.55E-013, 
  3.30,   4.25E-013, 
  3.40,   3.17E-013, 
  3.50,   2.71E-013, 
  3.60,   7.36E-013, 
  3.70,   4.10E-012, 
  3.80,   2.64E-012, 
  3.90,   5.99E-012, 
  4.00,   1.02E-011, 
  4.10,   6.76E-012, 
  4.20,   5.07E-012, 
  4.30,   3.83E-012, 
  4.40,   2.66E-012, 
  4.50,   5.78E-013, 
  4.60,  -1.17E-012, 
  4.70,  -9.39E-013, 
  4.80,  -2.20E-013, 
  4.90,  -8.92E-016, 
  5.00,  -2.37E-013, 
  5.10,  -2.08E-013, 
  5.20,  -1.78E-015, 
  5.30,   2.85E-013, 
  5.40,   1.42E-013, 
  5.50,  -4.73E-014, 
  5.60,  -5.89E-014, 
  5.70,   1.03E-013, 
  5.80,   1.47E-013, 
  5.90,   6.33E-014, 
  6.00,   2.04E-013, 
  6.10,   2.06E-013, 
  6.20,   1.85E-013, 
  6.30,   1.25E-014, 
  6.40,   1.47E-013, 
  6.50,   1.96E-013, 
  6.60,  -4.10E-014, 
  6.70,  -2.00E-013, 
