Aug 13, 2026  10:53:12 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   2.37E-013, 
  1.10,   2.86E-012, 
  1.20,   8.20E-014, 
  1.30,   1.60E-012, 
  1.40,  -8.28E-013, 
  1.50,   7.26E-012, 
  1.60,   2.99E-011, 
  1.70,   5.15E-011, 
  1.80,   7.05E-011, 
  1.90,   8.59E-011, 
  2.00,   9.67E-011, 
  2.10,   1.00E-010, 
  2.20,   9.54E-011, 
  2.30,   7.78E-011, 
  2.40,   4.11E-011, 
  2.50,   7.14E-012, 
  2.60,   2.00E-012, 
  2.70,   1.33E-012, 
  2.80,   2.85E-012, 
  2.90,  -6.44E-013, 
  3.00,  -2.24E-013, 
  3.10,  -5.89E-014, 
  3.20,  -2.94E-014, 
  3.30,  -3.87E-013, 
  3.40,  -6.78E-014, 
  3.50,  -7.04E-014, 
  3.60,   3.76E-013, 
  3.70,   3.61E-012, 
  3.80,   3.73E-012, 
  3.90,   3.22E-012, 
  4.00,   3.35E-012, 
  4.10,   3.40E-012, 
  4.20,   3.67E-012, 
  4.30,   3.24E-012, 
  4.40,   2.22E-012, 
  4.50,  -9.80E-013, 
  4.60,  -9.19E-013, 
  4.70,  -2.49E-013, 
  4.80,  -2.92E-013, 
  4.90,  -2.89E-013, 
  5.00,  -4.73E-014, 
  5.10,  -3.06E-013, 
  5.20,  -1.77E-013, 
  5.30,  -2.94E-014, 
  5.40,   2.94E-013, 
  5.50,   1.19E-013, 
  5.60,   9.36E-014, 
  5.70,   7.13E-015, 
  5.80,   8.03E-014, 
  5.90,   7.76E-014, 
  6.00,  -1.53E-013, 
  6.10,  -6.96E-014, 
  6.20,  -2.17E-013, 
  6.30,   8.47E-014, 
  6.40,   3.36E-013, 
  6.50,   1.99E-013, 
  6.60,   2.27E-013, 
  6.70,   1.67E-013, 
