Aug 14, 2026  09:36:50 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,  -5.53E-014, 
  1.10,   1.78E-014, 
  1.20,  -6.40E-012, 
  1.30,  -4.75E-011, 
  1.40,  -4.06E-011, 
  1.50,  -1.29E-011, 
  1.60,  -1.29E-011, 
  1.70,  -1.59E-011, 
  1.80,  -1.83E-011, 
  1.90,  -1.81E-011, 
  2.00,  -2.09E-011, 
  2.10,  -2.09E-011, 
  2.20,  -2.00E-011, 
  2.30,  -1.52E-011, 
  2.40,  -7.83E-012, 
  2.50,  -1.96E-012, 
  2.60,  -5.45E-013, 
  2.70,  -5.07E-013, 
  2.80,  -2.67E-012, 
  2.90,   7.62E-013, 
  3.00,   8.36E-013, 
  3.10,   4.49E-013, 
  3.20,   4.57E-013, 
  3.30,   2.87E-013, 
  3.40,   1.49E-013, 
  3.50,   3.21E-013, 
  3.60,   4.28E-012, 
  3.70,   3.95E-012, 
  3.80,   2.16E-012, 
  3.90,   3.53E-012, 
  4.00,   5.85E-012, 
  4.10,   7.63E-012, 
  4.20,   7.04E-012, 
  4.30,   6.96E-012, 
  4.40,   7.45E-012, 
  4.50,   3.48E-012, 
  4.60,   6.55E-013, 
  4.70,  -1.66E-012, 
  4.80,  -8.77E-013, 
  4.90,  -5.77E-013, 
  5.00,  -9.99E-014, 
  5.10,  -1.46E-013, 
  5.20,  -2.75E-013, 
  5.30,  -3.08E-013, 
  5.40,  -2.51E-013, 
  5.50,  -2.83E-013, 
  5.60,  -1.78E-013, 
  5.70,  -3.60E-013, 
  5.80,   5.17E-014, 
  5.90,   1.76E-013, 
  6.00,   1.61E-014, 
  6.10,  -2.26E-013, 
  6.20,  -8.92E-016, 
  6.30,   2.05E-014, 
  6.40,   2.14E-014, 
  6.50,  -1.11E-013, 
  6.60,  -7.31E-014, 
