Aug 14, 2026  09:47:36 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   1.18E-012, 
  1.10,   3.89E-012, 
  1.20,  -1.91E-012, 
  1.30,  -9.18E-012, 
  1.40,   5.47E-012, 
  1.50,   2.24E-011, 
  1.60,   1.43E-011, 
  1.70,   1.79E-011, 
  1.80,   2.75E-011, 
  1.90,   3.59E-011, 
  2.00,   4.37E-011, 
  2.10,   4.61E-011, 
  2.20,   4.91E-011, 
  2.30,   4.86E-011, 
  2.40,   3.75E-011, 
  2.50,   1.49E-011, 
  2.60,   3.76E-012, 
  2.70,   1.64E-012, 
  2.80,   2.62E-012, 
  2.90,   5.11E-013, 
  3.00,  -4.58E-013, 
  3.10,   5.97E-014, 
  3.20,  -3.92E-014, 
  3.30,   5.62E-014, 
  3.40,   2.37E-013, 
  3.50,   5.26E-014, 
  3.60,   1.51E-012, 
  3.70,   4.02E-012, 
  3.80,   4.55E-013, 
  3.90,   2.24E-012, 
  4.00,   4.04E-012, 
  4.10,   5.85E-012, 
  4.20,   6.61E-012, 
  4.30,   5.98E-012, 
  4.40,   5.54E-012, 
  4.50,   5.00E-012, 
  4.60,   1.85E-012, 
  4.70,  -8.65E-013, 
  4.80,  -1.60E-013, 
  4.90,  -1.94E-013, 
  5.00,   1.36E-013, 
  5.10,  -1.28E-013, 
  5.20,  -3.15E-013, 
  5.30,  -6.05E-013, 
  5.40,  -3.09E-013, 
  5.50,  -6.87E-014, 
  5.60,  -7.58E-014, 
  5.70,  -2.02E-013, 
  5.80,  -3.17E-013, 
  5.90,  -4.12E-013, 
  6.00,  -3.01E-013, 
  6.10,  -1.99E-013, 
  6.20,  -2.58E-013, 
  6.30,  -7.31E-014, 
  6.40,  -1.69E-014, 
  6.50,   3.57E-014, 
  6.60,   2.42E-013, 
  6.70,  -9.01E-014, 
