Aug 14, 2026  10:05:46 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   4.31E-009, 
  1.10,   4.79E-009, 
  1.20,   5.71E-009, 
  1.30,   7.29E-009, 
  1.40,   9.33E-009, 
  1.50,   1.16E-008, 
  1.60,   1.09E-008, 
  1.70,   8.61E-009, 
  1.80,   6.81E-009, 
  1.90,   5.96E-009, 
  2.00,   5.29E-009, 
  2.10,   5.09E-009, 
  2.20,   4.99E-009, 
  2.30,   4.92E-009, 
  2.40,   4.32E-009, 
  2.50,   2.75E-009, 
  2.60,   1.38E-009, 
  2.70,   7.77E-010, 
  2.80,   4.89E-010, 
  2.90,   2.47E-010, 
  3.00,   3.68E-010, 
  3.10,   2.80E-010, 
  3.20,  -2.09E-010, 
  3.30,   4.09E-010, 
  3.40,   4.57E-010, 
  3.50,   4.82E-010, 
  3.60,   9.96E-010, 
  3.70,   2.49E-009, 
  3.80,   4.86E-009, 
  3.90,   7.12E-009, 
  4.00,   9.38E-009, 
  4.10,   1.23E-008, 
  4.20,   1.42E-008, 
  4.30,   1.38E-008, 
  4.40,   1.06E-008, 
  4.50,   5.41E-009, 
  4.60,   2.70E-009, 
  4.70,   1.53E-009, 
  4.80,   9.24E-010, 
  4.90,   7.10E-010, 
  5.00,   5.12E-010, 
  5.10,   3.60E-010, 
  5.20,   2.69E-010, 
  5.30,  -2.72E-010, 
  5.40,   1.47E-010, 
  5.50,   4.55E-010, 
  5.60,   3.68E-010, 
  5.70,   2.68E-010, 
  5.80,   2.99E-010, 
  5.90,   2.44E-011, 
  6.00,  -2.91E-010, 
  6.10,   3.28E-010, 
  6.20,   4.45E-010, 
  6.30,   2.66E-010, 
  6.40,   3.18E-010, 
  6.50,   4.07E-010, 
  6.60,   2.81E-010, 
  6.70,  -3.23E-010, 
  6.80,   3.16E-011, 
