Aug 14, 2026  10:22:39 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Aug 14, 2026  10:22:39 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

0.000,   6.9821e-008  3.1409e-006  2.1639e-011  2.0575e-011  2.0857e-011  3.3351e-009  1.9991e-009  5.4932e-013  6.9476e-012  6.1620e-013 
5.625,   7.4355e-008  3.1390e-006  5.0375e-012  1.9930e-011  2.0409e-011  3.2285e-009  2.0867e-009  6.9021e-013  5.7125e-012  7.8296e-013 
11.672,   7.2927e-008  3.1292e-006  3.4107e-011  2.1013e-011  2.0550e-011  3.6594e-009  2.2060e-009  5.6448e-013  6.2877e-012 -4.4587e-014
17.750,   7.2960e-008  3.0948e-006  3.5353e-011  2.0303e-011  2.0398e-011  3.3740e-009  2.5266e-009  5.7785e-013  6.1290e-012  6.5989e-013 
23.750,   7.0293e-008  3.0615e-006  3.5062e-011  2.1433e-011  1.9918e-011  2.9792e-009  2.3713e-009  6.4206e-013  6.4598e-012  6.2601e-013 
29.766,   6.9941e-008  3.0545e-006  3.4302e-011  2.0313e-011  1.9541e-011  2.9910e-009  2.4959e-009  6.9556e-014  7.1162e-012  5.4932e-013 
35.813,   6.8238e-008  3.0384e-006  3.6058e-011  1.9762e-011  1.9252e-011  3.2005e-009  2.3713e-009  7.3391e-013  6.3252e-012  7.7850e-013 
41.828,   6.8420e-008  3.0244e-006  8.5171e-012  1.9872e-011  1.8797e-011  3.1183e-009  2.4372e-009  5.2970e-013  5.9997e-012  7.1697e-013 
47.859,   6.9052e-008  3.0046e-006  3.6547e-011  2.0143e-011  1.9805e-011  3.2313e-009  2.2340e-009  5.6894e-013  6.6186e-012  5.7250e-013 
53.844,   6.9373e-008  2.9933e-006  3.6357e-011  1.9421e-011  1.9336e-011  3.1861e-009  2.0741e-009  2.7644e-013  8.4261e-012  5.0027e-013 
59.938,   6.8943e-008  2.9451e-006  3.6838e-011  2.0357e-011  1.9386e-011  3.3415e-009  2.1960e-009  2.9160e-013  8.0284e-012  6.6703e-013 
65.969,   6.5485e-008  2.9647e-006  3.7988e-011  2.0406e-011  1.8478e-011  3.4878e-009  2.2340e-009  2.7733e-013  6.1468e-012  9.1583e-013 
71.984,   6.5574e-008  2.9374e-006  3.4118e-011  1.9681e-011  1.9377e-011  3.4995e-009  2.2719e-009  2.5861e-013  6.4509e-012  9.9608e-013 
78.063,   6.7023e-008  2.9242e-006  8.2103e-012  2.0236e-011  1.9167e-011  3.3415e-009  2.3098e-009  4.5390e-013  8.8185e-012  2.9963e-013 
84.109,   6.8771e-008  2.8981e-006  3.6481e-011  2.0213e-011  1.8694e-011  3.4065e-009  2.2204e-009  4.3696e-013  7.7422e-012  4.1199e-013 
90.109,   6.6509e-008  2.9027e-006  3.4951e-011  1.9067e-011  1.8996e-011  3.3107e-009  2.4697e-009  8.7213e-013  5.9827e-012  4.5479e-013 
96.172,   6.5672e-008  2.9003e-006  3.4933e-011  1.9369e-011  1.9242e-011  3.6043e-009  2.0596e-009  4.9046e-013  5.5815e-012  4.3696e-013 
102.188,   6.5091e-008  2.8721e-006  3.3161e-011  1.9165e-011  2.0523e-011  3.7362e-009  2.3080e-009  5.9391e-013  5.8802e-012  4.4231e-013 
108.234,   6.2982e-008  2.8544e-006  3.5424e-011  2.0315e-011  2.0585e-011  3.1608e-009  2.1346e-009  2.7644e-013  8.1872e-012  6.0104e-013 
114.297,   6.4503e-008  2.8323e-006  3.4766e-011  1.9078e-011  2.1200e-011  3.2114e-009  1.9178e-009  5.6804e-013  5.6590e-012  5.6804e-013 
120.344,   6.1063e-008  2.8362e-006  8.1417e-012  1.8225e-011  1.9171e-011  3.6504e-009  2.3098e-009  1.7032e-013  5.6635e-012  2.9160e-013 
126.375,   6.3613e-008  2.8204e-006  1.0028e-011  1.9969e-011  1.8743e-011  3.1608e-009  2.1310e-009  3.6294e-013  9.2198e-012  4.4142e-013 
132.438,   6.3570e-008  2.8157e-006  1.1488e-011  1.8899e-011  1.9256e-011  3.3397e-009  2.0262e-009  4.4766e-013  6.0077e-012  7.1340e-013 
138.500,   6.5347e-008  2.8040e-006  3.4591e-011  1.9484e-011  1.8043e-011  3.1554e-009  1.8094e-009  2.7288e-013  8.2335e-012  5.1454e-013 
144.547,   6.4019e-008  2.8084e-006  3.4853e-011  1.8745e-011  1.8947e-011  3.3704e-009  2.4959e-009  7.1607e-013  9.8743e-012  3.0409e-013 
150.594,   6.2619e-008  2.7862e-006  3.4341e-011  1.9011e-011  1.8972e-011  3.5104e-009  2.2547e-009  3.4867e-013  5.8213e-012  4.3696e-013 
156.625,   6.1587e-008  2.7854e-006  3.2337e-011  1.8992e-011  1.8730e-011  3.4381e-009  2.1960e-009  9.0958e-014  7.1688e-012  1.3644e-013 
162.625,   6.5642e-008  2.7773e-006  3.3449e-011  1.9820e-011  1.5821e-011  3.5556e-009  1.9955e-009  2.9606e-013  6.0621e-012  6.1977e-013 
168.656,   6.4457e-008  2.7588e-006  3.5033e-011  1.8661e-011  1.8047e-011  3.3613e-009  2.3812e-009  4.3874e-013  6.9904e-012  5.3059e-013 
174.672,   6.4054e-008  2.7451e-006  3.2440e-011  1.8367e-011  1.8681e-011  3.5059e-009  1.8302e-009  2.6931e-013  5.7001e-012  8.0347e-013 
180.734,   6.1014e-008  2.7535e-006  3.2468e-011  1.9337e-011  1.8437e-011  3.5646e-009  2.2647e-009  4.8422e-013  5.7125e-012  4.8511e-013 
186.781,   6.1363e-008  2.7292e-006  3.2689e-011  1.8860e-011  1.8869e-011  3.1626e-009  2.2376e-009  3.8167e-013  5.5369e-012  4.1912e-013 
192.828,   6.1604e-008  2.7516e-006  3.4199e-011  1.9120e-011  1.8185e-011  3.5203e-009  2.1960e-009  3.5581e-013  8.8194e-012  5.4843e-013 
198.844,   6.0831e-008  2.7352e-006  3.3867e-011  1.9006e-011  1.8132e-011  3.1725e-009  2.1210e-009  4.8422e-013  8.7267e-012  5.5199e-013 
204.859,   5.4844e-008  2.7136e-006  8.7659e-012  1.9299e-011  1.8987e-011  3.1500e-009  2.0632e-009  7.5540e-012  5.4352e-012  3.8167e-013 
210.875,   5.6269e-008  2.7386e-006  3.3383e-011  1.8584e-011  1.7983e-011  3.3342e-009  2.1111e-009  4.2269e-013  8.0525e-012  7.8206e-013 
216.938,   5.6713e-008  2.7141e-006  3.3610e-011  1.8797e-011  1.8767e-011  3.6640e-009  2.1346e-009 -7.2232e-014 5.8517e-012  5.7696e-013 
223.016,   5.6319e-008  2.7347e-006  3.4509e-011  1.9296e-011  1.8534e-011  3.0136e-009  1.8699e-009  1.9708e-013  5.9034e-012  4.9849e-013 
229.031,   5.8070e-008  2.7259e-006  3.4520e-011  1.9264e-011  1.8015e-011  3.5023e-009  1.9928e-009  4.1110e-013  7.4176e-012  7.9990e-013 
235.109,   6.0618e-008  2.7126e-006  8.5091e-012  1.8523e-011  1.8009e-011  3.2782e-009  1.9548e-009  4.9581e-013  5.9720e-012  4.4320e-013 
241.141,   5.8023e-008  2.7084e-006  3.1514e-011  1.8531e-011  1.8356e-011  3.4553e-009  1.8266e-009  5.5288e-013  5.6751e-012  7.7671e-013 
247.141,   6.1555e-008  2.7268e-006  9.7736e-012  1.9245e-011  1.8631e-011  3.6387e-009  1.9584e-009  5.2346e-013  5.4406e-012  7.2945e-013 
253.141,   6.1521e-008  2.7118e-006  3.3555e-011  1.8594e-011  1.7667e-011  3.3884e-009  1.7525e-009  2.9249e-013  5.3924e-012  4.6549e-013 
259.203,   5.9678e-008  2.7237e-006  2.9202e-011  1.8593e-011  1.8195e-011  3.2701e-009  2.1960e-009  3.9772e-013  7.8046e-012  2.3542e-013 
265.234,   6.0145e-008  2.7216e-006  3.0135e-011  1.8286e-011  1.7682e-011  3.7877e-009  1.7760e-009 -3.2103e-014 5.6127e-012  9.5417e-013 
271.266,   6.0657e-008  2.7006e-006  3.1682e-011  1.8746e-011  1.8781e-011  3.4029e-009  2.0949e-009  5.7785e-013  8.4895e-012  4.8422e-013 
277.313,   5.4640e-008  2.6923e-006  3.3209e-011  1.9054e-011  1.7989e-011  3.4508e-009  2.4923e-009  1.5873e-013  8.6598e-012  1.0130e-012 
283.359,   5.9445e-008  2.7063e-006  3.4288e-011  2.0947e-011  1.7854e-011  3.1960e-009  1.8799e-009  2.9160e-013  8.3352e-012  7.0716e-013 
289.406,   5.9704e-008  2.7538e-006  3.1485e-011  2.2841e-011  1.8120e-011  3.5212e-009  1.9919e-009  3.1033e-013  6.9824e-012  4.3339e-013 
295.500,   5.6773e-008  2.7722e-006  3.3916e-011  1.5658e-011  1.7765e-011  3.3550e-009  1.9955e-009  6.7416e-013  7.6129e-012  4.6906e-013 
301.547,   6.0400e-008  2.7865e-006  3.2017e-011  2.0033e-011  1.7585e-011  3.3315e-009  2.0668e-009  2.2918e-013  5.6849e-012  5.1097e-013 
307.594,   6.2532e-008  2.7620e-006  3.1058e-011  1.9583e-011  1.8124e-011  3.2493e-009  2.0126e-009  3.0855e-013  6.9021e-012  6.5722e-013 
313.656,   6.0327e-008  2.7727e-006  8.9826e-012  1.8292e-011  1.8405e-011  3.6531e-009  1.9106e-009  2.2026e-013  5.1713e-012  4.9135e-013 
319.672,   5.8819e-008  2.7742e-006  3.2522e-011  1.8022e-011  1.8428e-011  3.0903e-009  2.1689e-009  7.6066e-013  7.6619e-012  5.3416e-013 
325.688,   6.0482e-008  2.7667e-006  3.0540e-011  1.8703e-011  1.8554e-011  3.5574e-009  1.9313e-009  4.8690e-013  8.8738e-012  3.9683e-013 
331.734,   5.9201e-008  2.7709e-006  3.0789e-011  1.8649e-011  1.8241e-011  3.5348e-009  1.9350e-009  2.4077e-013  8.3263e-012  2.8001e-013 
337.797,   5.7086e-008  2.7555e-006  3.2030e-011  1.7931e-011  1.8240e-011  3.5962e-009  1.9955e-009  8.0703e-013  6.1852e-012  6.7416e-013 
343.828,   6.0126e-008  2.7619e-006  3.0060e-011  1.8747e-011  1.7963e-011  3.2954e-009  2.2141e-009  2.0956e-013  7.3712e-012  4.3963e-013 
349.875,   6.1780e-008  2.7880e-006  8.3539e-012  1.7994e-011  1.7769e-011  3.3957e-009  2.0668e-009  2.4434e-013  5.4129e-012  2.3810e-013 
355.891,   6.0510e-008  2.7636e-006  2.9788e-011  1.8650e-011  1.9200e-011  3.3677e-009  2.1147e-009  8.8283e-014  8.8132e-012  7.9098e-013 
361.984,   5.6548e-008  2.7605e-006  3.1410e-011  1.8762e-011  1.7945e-011  3.3857e-009  1.9341e-009  1.1076e-012  8.3477e-012  6.2360e-012 
368.063,   6.3153e-008  2.7718e-006  2.9473e-011  1.8047e-011  1.8169e-011  3.4173e-009  1.8564e-009  1.7478e-013  5.7179e-012  8.5697e-013 
374.078,   5.9100e-008  2.7664e-006  3.0695e-011  1.8034e-011  1.7963e-011  3.2114e-009  1.8799e-009  4.0396e-013  5.1864e-012  6.1620e-013 
380.141,   5.6256e-008  2.7472e-006  8.8470e-012  1.7599e-011  1.7500e-011  3.2963e-009  1.7823e-009  4.7709e-013  5.8419e-012  6.5454e-013 
386.172,   5.5500e-008  2.7547e-006  3.1457e-011  1.8287e-011  1.8043e-011  3.6748e-009  1.7588e-009  8.0703e-013  6.7604e-012  5.7429e-013 
392.203,   5.5121e-008  2.7415e-006  3.2217e-011  1.8124e-011  1.7804e-011  3.5294e-009  1.8871e-009  9.5328e-013  5.7500e-012  5.2346e-013 
398.250,   5.8619e-008  2.7578e-006  3.0211e-011  1.8382e-011  1.8433e-011  3.3180e-009  1.9042e-009  1.6408e-013  7.5549e-012  4.0664e-013 
404.297,   5.9368e-008  2.7563e-006  2.9851e-011  1.9344e-011  1.7878e-011  3.4887e-009  1.8392e-009  1.4268e-013  8.8640e-012  7.0698e-012 
410.297,   5.9877e-008  2.7558e-006  3.0633e-011  1.8324e-011  1.7661e-011  3.5185e-009  1.9476e-009  2.4166e-013  5.2248e-012  4.4587e-013 
416.344,   5.5545e-008  2.7606e-006  2.8273e-011  1.7433e-011  1.8366e-011  3.4128e-009  1.9277e-009  3.2014e-013  5.3657e-012  4.9403e-013 
422.422,   6.0355e-008  2.7354e-006  2.9504e-011  1.7364e-011  1.8586e-011  3.4417e-009  2.0840e-009  5.0741e-013  8.5332e-012  1.4268e-013 
