Aug 14, 2026  01:43:01 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   1.70E-013, 
  1.10,   2.27E-012, 
  1.20,   2.83E-013, 
  1.30,  -4.28E-014, 
  1.40,  -4.00E-013, 
  1.50,   1.12E-012, 
  1.60,   2.66E-012, 
  1.70,   4.21E-012, 
  1.80,   4.42E-012, 
  1.90,   5.37E-012, 
  2.00,   5.95E-012, 
  2.10,   6.59E-012, 
  2.20,   5.95E-012, 
  2.30,   3.33E-012, 
  2.40,   1.34E-012, 
  2.50,   5.52E-013, 
  2.60,   2.55E-013, 
  2.70,   3.38E-013, 
  2.80,  -1.78E-014, 
  2.90,   6.02E-013, 
  3.00,   5.09E-013, 
  3.10,   7.79E-013, 
  3.20,   2.24E-012, 
  3.30,   4.39E-012, 
  3.40,   4.49E-012, 
  3.50,   7.22E-012, 
  3.60,   2.60E-011, 
  3.70,   5.11E-011, 
  3.80,   6.80E-011, 
  3.90,   9.43E-011, 
  4.00,   1.20E-010, 
  4.10,   1.23E-010, 
  4.20,   1.04E-010, 
  4.30,   5.65E-011, 
  4.40,   1.46E-011, 
  4.50,   4.74E-012, 
  4.60,   2.08E-012, 
  4.70,   4.05E-012, 
  4.80,   8.53E-013, 
  4.90,  -1.06E-012, 
  5.00,  -5.70E-013, 
  5.10,  -2.63E-013, 
  5.20,  -2.51E-013, 
  5.30,  -6.15E-014, 
  5.40,   9.27E-014, 
  5.50,   6.06E-014, 
  5.60,  -1.44E-013, 
  5.70,  -3.83E-014, 
  5.80,   8.83E-014, 
  5.90,   3.44E-013, 
  6.00,   3.75E-013, 
  6.10,   2.53E-013, 
  6.20,  -7.40E-014, 
  6.30,  -9.19E-014, 
  6.40,  -2.85E-014, 
  6.50,   2.05E-014, 
  6.60,  -7.13E-014, 
  6.70,  -7.22E-014, 
