Aug 18, 2026  11:00:07 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Aug 18, 2026  11:00:07 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

0.000,   1.0966E-007,   3.2835E-006,   3.4751E-011,   2.7873E-011,   2.7874E-011,   3.1536E-009,   2.9765E-009,   5.7152E-012,   8.5492E-012,   7.4791E-012,  
5.593,   1.0977E-007,   3.2482E-006,   5.2998E-011,   2.3868E-011,   2.5543E-011,   3.1653E-009,   3.1003E-009,   8.1238E-013,   9.2804E-012,   9.4401E-012,  
11.593,   1.0919E-007,   3.2344E-006,   5.3871E-011,   2.2454E-011,   2.4493E-011,   3.0858E-009,   3.3126E-009,   8.1007E-012,   9.9332E-012,   6.2440E-012,  
17.593,   1.1188E-007,   3.2181E-006,   5.3708E-011,   2.3133E-011,   2.3647E-011,   3.0271E-009,   3.2629E-009,   9.0058E-012,   8.0213E-012,   7.0653E-012,  
23.593,   1.1190E-007,   3.2473E-006,   5.4165E-011,   2.2654E-011,   2.1917E-011,   3.1500E-009,   3.2340E-009,   2.0332E-013,   7.0493E-012,   5.4932E-013,  
29.593,   1.1301E-007,   3.2427E-006,   5.4876E-011,   2.1185E-011,   2.2745E-011,   3.1472E-009,   2.9485E-009,   4.0485E-013,   9.5676E-012,   8.3379E-013,  
35.593,   1.1050E-007,   3.2401E-006,   5.4858E-011,   2.0853E-011,   2.2193E-011,   3.5303E-009,   3.0045E-009,   4.0396E-013,   6.7238E-012,   1.8816E-013,  
41.609,   1.0687E-007,   3.2473E-006,   6.4028E-013,   1.9683E-011,   2.1875E-011,   3.2457E-009,   2.8220E-009,   1.0532E-012,   7.0734E-012,   2.7644E-013,  
47.593,   1.0350E-007,   3.2365E-006,   5.2486E-011,   2.0163E-011,   2.2090E-011,   3.0226E-009,   2.9313E-009,   2.6039E-013,   6.4759E-012,   2.1313E-013,  
53.609,   1.0779E-007,   3.2113E-006,   5.6097E-011,   2.0770E-011,   2.1992E-011,   2.9630E-009,   3.0397E-009,   4.6728E-013,   7.3222E-012,   5.3683E-013,  
59.609,   1.0934E-007,   3.2043E-006,   5.5643E-011,   2.0194E-011,   2.2582E-011,   3.2177E-009,   2.9693E-009,   7.9722E-013,   5.9506E-012,   7.6690E-014,  
65.593,   1.0462E-007,   3.2271E-006,   5.2894E-011,   1.9981E-011,   2.2625E-011,   2.8464E-009,   2.8988E-009,   3.4243E-013,   7.1206E-012,   3.2103E-013,  
71.593,   1.0728E-007,   3.2218E-006,   5.3518E-011,   2.0611E-011,   2.2485E-011,   2.9982E-009,   2.9593E-009,   2.7020E-013,   6.3448E-012,   1.9708E-013,  
77.593,   1.0769E-007,   3.2180E-006,   5.7480E-011,   1.9901E-011,   2.0533E-011,   3.3911E-009,   2.9874E-009,   9.1226E-013,   6.6685E-012,   7.2856E-013,  
83.609,   1.0586E-007,   3.2117E-006,   5.4372E-011,   1.9904E-011,   2.8106E-011,   3.1861E-009,   2.9901E-009,   3.0141E-013,   7.0020E-012,   4.4855E-013,  
89.593,   1.0628E-007,   3.2208E-006,   1.5078E-011,   1.9902E-011,   5.7012E-011,   3.1897E-009,   2.9241E-009,   3.3351E-013,   6.4696E-012,   3.1122E-013,  
95.593,   1.0648E-007,   3.2056E-006,   5.2380E-011,   1.9490E-011,   4.9431E-011,   3.0343E-009,   2.9097E-009,   5.1365E-013,   6.3118E-012,   5.6180E-013,  
101.593,   1.0564E-007,   3.1996E-006,   5.6178E-011,   1.9272E-011,   2.9965E-011,   3.0560E-009,   2.8573E-009,   5.0473E-013,   5.9917E-012,   3.2638E-013,  
107.593,   1.0825E-007,   3.1990E-006,   5.7054E-011,   1.9795E-011,   2.4395E-011,   2.8031E-009,   2.9106E-009,   4.4409E-013,   6.4982E-012,  -1.7924E-013,  
113.593,   1.0437E-007,   3.1758E-006,   5.5083E-011,   1.9665E-011,   2.2936E-011,   3.0587E-009,   2.5610E-009,   5.7161E-013,   6.2289E-012,   8.3914E-013,  
