Aug 18, 2026  02:19:23 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   8.20E-013, 
  1.10,   3.55E-012, 
  1.20,   3.49E-012, 
  1.30,  -1.28E-012, 
  1.40,  -1.37E-012, 
  1.50,   3.32E-012, 
  1.60,   9.39E-012, 
  1.70,   2.86E-011, 
  1.80,   3.34E-011, 
  1.90,   2.80E-011, 
  2.00,   2.46E-011, 
  2.10,   2.21E-011, 
  2.20,   1.75E-011, 
  2.30,   7.11E-012, 
  2.40,   2.23E-012, 
  2.50,   1.56E-012, 
  2.60,   1.27E-012, 
  2.70,   9.97E-013, 
  2.80,   2.77E-012, 
  2.90,   2.69E-012, 
  3.00,   4.99E-014, 
  3.10,   1.35E-012, 
  3.20,   6.21E-012, 
  3.30,   4.44E-012, 
  3.40,   1.35E-011, 
  3.50,   4.75E-011, 
  3.60,   9.35E-011, 
  3.70,   1.22E-010, 
  3.80,   1.57E-010, 
  3.90,   2.12E-010, 
  4.00,   2.30E-010, 
  4.10,   2.06E-010, 
  4.20,   1.33E-010, 
  4.30,   3.88E-011, 
  4.40,   6.10E-012, 
  4.50,   2.45E-012, 
  4.60,   1.62E-012, 
  4.70,   1.55E-012, 
  4.80,   4.70E-013, 
  4.90,   3.84E-013, 
  5.00,   3.93E-013, 
  5.10,   6.09E-013, 
  5.20,   7.33E-013, 
  5.30,   6.33E-013, 
  5.40,   5.41E-013, 
  5.50,   9.40E-013, 
  5.60,   5.56E-013, 
  5.70,   2.84E-013, 
  5.80,   4.40E-013, 
  5.90,   4.24E-013, 
  6.00,   4.50E-013, 
  6.10,   7.26E-013, 
  6.20,   5.21E-013, 
  6.30,   5.83E-013, 
  6.40,   6.05E-013, 
  6.50,   5.95E-013, 
  6.60,   6.56E-013, 
  6.70,   4.73E-013, 
  6.80,   6.70E-013, 
