Aug 20, 2026  10:39:29 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   2.29E-012, 
  1.10,   1.78E-012, 
  1.20,  -9.08E-013, 
  1.30,  -1.66E-012, 
  1.40,   3.98E-012, 
  1.50,   1.80E-011, 
  1.60,   3.73E-011, 
  1.70,   5.92E-011, 
  1.80,   7.87E-011, 
  1.90,   9.25E-011, 
  2.00,   1.01E-010, 
  2.10,   1.12E-010, 
  2.20,   1.08E-010, 
  2.30,   9.61E-011, 
  2.40,   5.88E-011, 
  2.50,   1.65E-011, 
  2.60,   5.34E-012, 
  2.70,   2.19E-012, 
  2.80,   5.30E-013, 
  2.90,   5.68E-013, 
  3.00,   7.69E-013, 
  3.10,   8.66E-013, 
  3.20,   2.10E-013, 
  3.30,   5.81E-013, 
  3.40,   7.36E-013, 
  3.50,   6.13E-013, 
  3.60,   2.41E-012, 
  3.70,   4.27E-012, 
  3.80,   3.91E-012, 
  3.90,   5.25E-012, 
  4.00,   3.97E-012, 
  4.10,   4.41E-012, 
  4.20,   5.72E-012, 
  4.30,   5.56E-012, 
  4.40,   6.76E-012, 
  4.50,   4.58E-012, 
  4.60,   1.78E-014, 
  4.70,  -1.00E-012, 
  4.80,  -6.19E-013, 
  4.90,  -1.41E-013, 
  5.00,   5.57E-013, 
  5.10,   5.12E-013, 
  5.20,   3.17E-013, 
  5.30,   2.33E-013, 
  5.40,   9.41E-013, 
  5.50,   7.31E-014, 
  5.60,  -1.16E-013, 
  5.70,   6.43E-013, 
  5.80,   3.62E-013, 
  5.90,   2.38E-013, 
  6.00,   2.97E-013, 
  6.10,   6.99E-013, 
  6.20,   1.36E-013, 
  6.30,   3.57E-013, 
  6.40,   1.06E-013, 
  6.50,   7.61E-013, 
  6.60,   8.92E-016, 
  6.70,  -4.46E-014, 
  6.80,   7.13E-014, 
