Aug 20, 2026  10:53:28 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   3.05E-009, 
  1.10,   3.27E-009, 
  1.20,   4.00E-009, 
  1.30,   4.95E-009, 
  1.40,   6.61E-009, 
  1.50,   8.23E-009, 
  1.60,   7.68E-009, 
  1.70,   6.35E-009, 
  1.80,   5.13E-009, 
  1.90,   4.29E-009, 
  2.00,   3.71E-009, 
  2.10,   3.61E-009, 
  2.20,   3.38E-009, 
  2.30,   3.22E-009, 
  2.40,   2.77E-009, 
  2.50,   1.65E-009, 
  2.60,   9.62E-010, 
  2.70,   5.68E-010, 
  2.80,   4.72E-010, 
  2.90,   4.19E-010, 
  3.00,   2.85E-010, 
  3.10,   3.12E-010, 
  3.20,   2.91E-010, 
  3.30,   3.31E-010, 
  3.40,   3.94E-010, 
  3.50,   4.81E-010, 
  3.60,   7.42E-010, 
  3.70,   1.74E-009, 
  3.80,   2.96E-009, 
  3.90,   4.02E-009, 
  4.00,   5.35E-009, 
  4.10,   7.06E-009, 
  4.20,   7.93E-009, 
  4.30,   7.80E-009, 
  4.40,   5.90E-009, 
  4.50,   3.14E-009, 
  4.60,   1.50E-009, 
  4.70,   7.91E-010, 
  4.80,   4.15E-010, 
  4.90,   3.00E-010, 
  5.00,   2.66E-010, 
  5.10,   2.97E-010, 
  5.20,   2.60E-010, 
  5.30,  -2.07E-010, 
  5.40,   4.21E-010, 
  5.50,   3.31E-010, 
  5.60,   2.67E-010, 
  5.70,  -6.32E-012, 
  5.80,  -3.15E-010, 
  5.90,  -2.29E-010, 
  6.00,   3.58E-010, 
  6.10,   3.22E-010, 
  6.20,   3.36E-010, 
  6.30,  -5.42E-012, 
  6.40,  -2.97E-010, 
  6.50,   3.48E-010, 
  6.60,   4.20E-010, 
  6.70,   1.74E-010, 
