Aug 20, 2026  11:15:01 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Aug 20, 2026  11:15:01 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          CO2                   1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

0.000,   7.0764E-008,   2.6348E-006,   2.9302E-011,   1.8566E-011,   2.0424E-011,   3.1292E-009,   1.5574E-009,   5.7429E-013,   6.6730E-012,   1.1281E-012,  
5.578,   8.0120E-008,   2.8730E-006,   4.4387E-011,   1.8137E-011,   2.1032E-011,   3.0379E-009,   1.7489E-009,   7.1875E-013,   8.8176E-012,   8.7927E-013,  
11.610,   8.3890E-008,   2.9650E-006,   4.9426E-011,   1.8296E-011,   2.1175E-011,   3.3695E-009,   2.0596E-009,   4.7798E-013,   9.4811E-012,   5.7001E-012,  
17.594,   8.4444E-008,   2.9863E-006,   6.7000E-011,   1.6750E-011,   2.1392E-011,   3.2033E-009,   1.9512E-009,  -1.8013E-013,   8.7454E-012,   4.2116E-011,  
23.641,   8.9020E-008,   3.0079E-006,   5.0213E-011,   1.9237E-011,   2.1407E-011,   3.2105E-009,   1.8835E-009,   4.2982E-013,   9.3009E-012,   7.6423E-013,  
29.641,   8.7649E-008,   2.9908E-006,   1.1342E-011,   1.7254E-011,   2.0674E-011,   3.0723E-009,   2.0939E-009,   1.5606E-013,   6.7131E-012,   8.5965E-013,  
35.641,   8.7668E-008,   2.9787E-006,   4.9129E-011,   1.7972E-011,   2.1031E-011,   3.0659E-009,   2.0903E-009,   1.8994E-013,   4.5836E-012,   4.6906E-013,  
41.625,   8.8283E-008,   2.9858E-006,   4.8215E-011,   1.7639E-011,   2.1016E-011,   3.0506E-009,   2.2475E-009,   4.7887E-013,   8.1711E-012,   8.0436E-013,  
47.641,   8.4723E-008,   2.9880E-006,   4.7156E-011,   1.7615E-011,   1.5714E-011,   3.3379E-009,   2.3713E-009,   3.4332E-013,   8.0793E-012,   6.7505E-013,  
53.641,   8.6033E-008,   2.9637E-006,   4.6737E-011,   1.8094E-011,   2.0964E-011,   3.0199E-009,   2.0117E-009,   2.9249E-013,   7.7752E-012,   6.7951E-013,  
59.625,   8.5461E-008,   2.9636E-006,   4.7871E-011,   1.8226E-011,   2.0953E-011,   3.1689E-009,   2.1518E-009,   3.7453E-013,   8.5421E-012,   2.4166E-013,  
65.641,   8.2696E-008,   2.9914E-006,   4.9380E-011,   1.8614E-011,   2.1129E-011,   2.9874E-009,   2.0497E-009,   1.3911E-013,   5.4085E-012,   6.7862E-013,  
71.625,   8.6724E-008,   2.9727E-006,   4.8016E-011,   1.7832E-011,   2.0434E-011,   3.1265E-009,   2.0054E-009,   2.7555E-013,   8.7828E-012,   5.3148E-013,  
