Aug 20, 2026  01:05:59 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   2.13E-012, 
  1.10,   1.62E-012, 
  1.20,  -7.00E-013, 
  1.30,  -5.69E-013, 
  1.40,   6.59E-012, 
  1.50,   6.01E-012, 
  1.60,   5.12E-012, 
  1.70,   5.23E-012, 
  1.80,   6.60E-012, 
  1.90,   7.03E-012, 
  2.00,   7.90E-012, 
  2.10,   7.67E-012, 
  2.20,   8.82E-012, 
  2.30,   8.69E-012, 
  2.40,   6.44E-012, 
  2.50,   3.23E-012, 
  2.60,   1.86E-012, 
  2.70,   2.76E-012, 
  2.80,   3.50E-012, 
  2.90,   2.91E-012, 
  3.00,   2.13E-012, 
  3.10,   2.46E-012, 
  3.20,   3.15E-012, 
  3.30,   5.01E-012, 
  3.40,   1.07E-011, 
  3.50,   2.95E-011, 
  3.60,   9.41E-011, 
  3.70,   1.75E-010, 
  3.80,   2.22E-010, 
  3.90,   3.02E-010, 
  4.00,   3.99E-010, 
  4.10,   4.35E-010, 
  4.20,   3.75E-010, 
  4.30,   2.31E-010, 
  4.40,   6.05E-011, 
  4.50,   1.51E-011, 
  4.60,   6.77E-012, 
  4.70,   3.67E-012, 
  4.80,   1.49E-012, 
  4.90,  -1.16E-012, 
  5.00,  -2.02E-013, 
  5.10,   1.41E-013, 
  5.20,   3.18E-013, 
  5.30,   3.06E-013, 
  5.40,   3.01E-013, 
  5.50,   4.43E-013, 
  5.60,   1.28E-013, 
  5.70,   2.14E-014, 
  5.80,   3.37E-013, 
  5.90,   6.26E-013, 
  6.00,   3.97E-013, 
  6.10,   3.09E-013, 
  6.20,   3.46E-013, 
  6.30,   4.75E-013, 
  6.40,   3.35E-013, 
  6.50,   2.20E-013, 
  6.60,   2.51E-013, 
  6.70,   1.54E-013, 
  6.80,   2.92E-013, 
