Aug 20, 2026  02:15:55 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   3.35E-013, 
  1.10,   3.15E-012, 
  1.20,  -1.18E-013, 
  1.30,  -7.13E-014, 
  1.40,   1.24E-012, 
  1.50,   4.44E-012, 
  1.60,   8.42E-012, 
  1.70,   1.20E-011, 
  1.80,   1.42E-011, 
  1.90,   1.63E-011, 
  2.00,   1.68E-011, 
  2.10,   1.75E-011, 
  2.20,   1.74E-011, 
  2.30,   1.32E-011, 
  2.40,   5.87E-012, 
  2.50,   2.59E-012, 
  2.60,   1.88E-012, 
  2.70,   2.59E-012, 
  2.80,   4.33E-012, 
  2.90,   3.41E-012, 
  3.00,   3.14E-012, 
  3.10,   3.42E-012, 
  3.20,   5.52E-012, 
  3.30,   9.66E-012, 
  3.40,   2.13E-011, 
  3.50,   7.75E-011, 
  3.60,   2.03E-010, 
  3.70,   3.14E-010, 
  3.80,   3.82E-010, 
  3.90,   5.34E-010, 
  4.00,   6.66E-010, 
  4.10,   6.69E-010, 
  4.20,   5.39E-010, 
  4.30,   2.53E-010, 
  4.40,   3.68E-011, 
  4.50,   8.00E-012, 
  4.60,   3.36E-012, 
  4.70,   4.14E-012, 
  4.80,   1.71E-012, 
  4.90,  -4.32E-013, 
  5.00,   7.85E-014, 
  5.10,  -1.03E-013, 
  5.20,  -8.03E-014, 
  5.30,  -2.49E-013, 
  5.40,  -5.97E-014, 
  5.50,   4.75E-013, 
  5.60,   8.03E-015, 
  5.70,  -7.76E-014, 
  5.80,   2.92E-013, 
  5.90,   2.60E-013, 
  6.00,  -7.94E-014, 
  6.10,  -1.96E-014, 
  6.20,   3.51E-013, 
  6.30,   3.60E-013, 
  6.40,   3.74E-013, 
  6.50,   3.11E-013, 
  6.60,   3.46E-013, 
  6.70,   1.55E-013, 
