Aug 20, 2026  02:29:34 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   2.56E-013, 
  1.10,   1.80E-012, 
  1.20,  -8.11E-014, 
  1.30,   6.01E-013, 
  1.40,   5.68E-012, 
  1.50,   2.32E-011, 
  1.60,   6.44E-011, 
  1.70,   1.05E-010, 
  1.80,   1.40E-010, 
  1.90,   1.64E-010, 
  2.00,   1.91E-010, 
  2.10,   2.06E-010, 
  2.20,   1.99E-010, 
  2.30,   1.52E-010, 
  2.40,   6.96E-011, 
  2.50,   1.32E-011, 
  2.60,   4.09E-012, 
  2.70,   1.92E-012, 
  2.80,   3.56E-012, 
  2.90,  -4.45E-013, 
  3.00,  -5.44E-014, 
  3.10,   1.96E-013, 
  3.20,   1.07E-013, 
  3.30,   1.67E-013, 
  3.40,   3.17E-013, 
  3.50,   3.42E-012, 
  3.60,   6.94E-013, 
  3.70,   3.21E-012, 
  3.80,   6.19E-012, 
  3.90,   8.99E-012, 
  4.00,   1.26E-011, 
  4.10,   1.54E-011, 
  4.20,   1.46E-011, 
  4.30,   1.13E-011, 
  4.40,   5.89E-012, 
  4.50,   2.34E-012, 
  4.60,   4.14E-012, 
  4.70,  -5.60E-013, 
  4.80,  -2.85E-013, 
  4.90,  -4.46E-014, 
  5.00,  -1.04E-013, 
  5.10,   5.71E-014, 
  5.20,   5.17E-014, 
  5.30,  -1.50E-013, 
  5.40,  -3.66E-014, 
  5.50,   2.36E-013, 
  5.60,   2.50E-013, 
  5.70,   1.79E-013, 
  5.80,   9.10E-014, 
  5.90,   1.61E-013, 
  6.00,  -7.40E-014, 
  6.10,  -7.40E-014, 
  6.20,   2.05E-014, 
  6.30,   1.83E-013, 
  6.40,   1.97E-013, 
  6.50,   2.77E-013, 
  6.60,   3.23E-013, 
  6.70,   2.80E-013, 
