Jun 25, 2026  10:18:15 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   4.20E-012, 
  1.10,   2.35E-012, 
  1.20,  -1.84E-013, 
  1.30,   4.57E-012, 
  1.40,   1.02E-011, 
  1.50,   1.18E-010, 
  1.60,   2.59E-010, 
  1.70,   3.38E-010, 
  1.80,   3.89E-010, 
  1.90,   4.37E-010, 
  2.00,   4.74E-010, 
  2.10,   4.66E-010, 
  2.20,   4.06E-010, 
  2.30,   2.26E-010, 
  2.40,   4.94E-011, 
  2.50,   8.57E-012, 
  2.60,   2.88E-012, 
  2.70,   3.47E-012, 
  2.80,   2.34E-012, 
  2.90,  -7.35E-013, 
  3.00,  -2.92E-013, 
  3.10,   1.05E-013, 
  3.20,   4.42E-013, 
  3.30,   3.41E-012, 
  3.40,   2.72E-012, 
  3.50,   3.64E-012, 
  3.60,   7.36E-012, 
  3.70,   1.21E-011, 
  3.80,   1.60E-011, 
  3.90,   1.95E-011, 
  4.00,   2.55E-011, 
  4.10,   2.89E-011, 
  4.20,   2.61E-011, 
  4.30,   1.95E-011, 
  4.40,   8.44E-012, 
  4.50,   3.63E-012, 
  4.60,   1.43E-012, 
  4.70,  -1.86E-012, 
  4.80,  -1.11E-012, 
  4.90,  -2.56E-013, 
  5.00,  -8.83E-014, 
  5.10,  -2.34E-013, 
  5.20,  -3.48E-013, 
  5.30,  -6.06E-014, 
  5.40,   1.21E-013, 
  5.50,   2.16E-013, 
  5.60,   2.88E-013, 
  5.70,  -9.72E-014, 
  5.80,   8.65E-014, 
  5.90,   1.65E-013, 
  6.00,   3.34E-013, 
  6.10,   1.95E-013, 
  6.20,   2.02E-013, 
  6.30,   2.68E-013, 
  6.40,   4.55E-014, 
  6.50,  -1.08E-013, 
  6.60,  -1.39E-013, 
  6.70,  -2.70E-013, 
