Jun 25, 2026  11:28:35 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,  -2.33E-013, 
  1.10,  -2.75E-012, 
  1.20,   1.03E-012, 
  1.30,   2.74E-012, 
  1.40,  -7.97E-013, 
  1.50,   2.00E-011, 
  1.60,   6.37E-011, 
  1.70,   9.17E-011, 
  1.80,   1.12E-010, 
  1.90,   1.29E-010, 
  2.00,   1.44E-010, 
  2.10,   1.47E-010, 
  2.20,   1.33E-010, 
  2.30,   8.73E-011, 
  2.40,   2.76E-011, 
  2.50,   5.47E-012, 
  2.60,   2.53E-012, 
  2.70,   2.95E-012, 
  2.80,   2.12E-012, 
  2.90,  -1.19E-012, 
  3.00,  -4.67E-013, 
  3.10,  -1.16E-014, 
  3.20,   4.64E-013, 
  3.30,   3.08E-012, 
  3.40,   3.82E-012, 
  3.50,   5.24E-012, 
  3.60,   1.29E-011, 
  3.70,   2.69E-011, 
  3.80,   3.60E-011, 
  3.90,   5.07E-011, 
  4.00,   6.40E-011, 
  4.10,   6.68E-011, 
  4.20,   5.70E-011, 
  4.30,   3.28E-011, 
  4.40,   1.05E-011, 
  4.50,   3.24E-012, 
  4.60,   2.70E-012, 
  4.70,   4.56E-013, 
  4.80,  -1.69E-014, 
  4.90,   9.72E-014, 
  5.00,   4.40E-013, 
  5.10,   2.57E-013, 
  5.20,   7.49E-014, 
  5.30,   1.07E-013, 
  5.40,   1.48E-013, 
  5.50,   7.13E-014, 
  5.60,  -7.40E-014, 
  5.70,  -1.69E-014, 
  5.80,   1.48E-013, 
  5.90,   1.27E-013, 
  6.00,  -3.83E-014, 
  6.10,  -4.88E-013, 
  6.20,  -2.23E-014, 
  6.30,  -1.93E-013, 
  6.40,  -1.05E-013, 
  6.50,  -8.11E-014, 
  6.60,  -5.08E-014, 
  6.70,  -4.37E-014, 
