Jun 25, 2026  03:05:35 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   1.46E-012, 
  1.10,   1.07E-013, 
  1.20,  -8.99E-013, 
  1.30,   4.12E-012, 
  1.40,   7.49E-012, 
  1.50,   2.20E-011, 
  1.60,   5.59E-011, 
  1.70,   8.30E-011, 
  1.80,   1.00E-010, 
  1.90,   1.15E-010, 
  2.00,   1.31E-010, 
  2.10,   1.34E-010, 
  2.20,   1.26E-010, 
  2.30,   8.87E-011, 
  2.40,   3.26E-011, 
  2.50,   7.09E-012, 
  2.60,   2.75E-012, 
  2.70,   2.96E-012, 
  2.80,   3.03E-012, 
  2.90,   2.23E-012, 
  3.00,  -5.04E-013, 
  3.10,  -9.28E-013, 
  3.20,   3.21E-013, 
  3.30,   4.82E-012, 
  3.40,   5.91E-012, 
  3.50,   1.18E-011, 
  3.60,   3.26E-011, 
  3.70,   6.16E-011, 
  3.80,   8.04E-011, 
  3.90,   1.14E-010, 
  4.00,   1.47E-010, 
  4.10,   1.53E-010, 
  4.20,   1.28E-010, 
  4.30,   7.32E-011, 
  4.40,   1.97E-011, 
  4.50,   5.97E-012, 
  4.60,   5.42E-012, 
  4.70,   2.84E-012, 
  4.80,  -1.03E-012, 
  4.90,  -4.93E-013, 
  5.00,  -2.56E-013, 
  5.10,  -4.29E-013, 
  5.20,  -2.65E-013, 
  5.30,   1.34E-014, 
  5.40,  -3.83E-014, 
  5.50,  -1.77E-013, 
  5.60,  -1.94E-013, 
  5.70,   2.68E-014, 
  5.80,  -1.21E-013, 
  5.90,   1.94E-013, 
  6.00,   5.42E-013, 
  6.10,   1.36E-013, 
  6.20,  -2.76E-014, 
  6.30,  -3.83E-014, 
  6.40,  -2.35E-013, 
  6.50,  -2.42E-013, 
  6.60,  -1.24E-013, 
  6.70,   1.34E-013, 
