Jul 23, 2026  09:44:00 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   7.05E-012, 
  1.10,   9.10E-012, 
  1.20,  -1.36E-012, 
  1.30,  -1.93E-010, 
  1.40,  -2.24E-010, 
  1.50,  -3.44E-011, 
  1.60,   5.25E-011, 
  1.70,   5.99E-011, 
  1.80,   6.11E-011, 
  1.90,   6.19E-011, 
  2.00,   6.56E-011, 
  2.10,   6.40E-011, 
  2.20,   5.59E-011, 
  2.30,   2.98E-011, 
  2.40,   3.15E-012, 
  2.50,  -7.60E-012, 
  2.60,  -2.13E-012, 
  2.70,  -8.51E-013, 
  2.80,  -4.24E-013, 
  2.90,  -4.50E-013, 
  3.00,  -2.22E-012, 
  3.10,   1.19E-012, 
  3.20,   8.61E-013, 
  3.30,   3.36E-012, 
  3.40,   3.84E-012, 
  3.50,   5.97E-012, 
  3.60,   1.23E-011, 
  3.70,   1.93E-011, 
  3.80,   2.41E-011, 
  3.90,   3.13E-011, 
  4.00,   3.82E-011, 
  4.10,   4.30E-011, 
  4.20,   3.87E-011, 
  4.30,   2.85E-011, 
  4.40,   1.39E-011, 
  4.50,   4.03E-012, 
  4.60,  -4.27E-013, 
  4.70,  -5.62E-014, 
  4.80,  -1.26E-013, 
  4.90,  -4.74E-013, 
  5.00,  -3.35E-013, 
  5.10,  -2.78E-013, 
  5.20,  -1.13E-013, 
  5.30,  -1.38E-013, 
  5.40,  -3.75E-013, 
  5.50,  -3.77E-013, 
  5.60,  -1.67E-013, 
  5.70,  -1.01E-013, 
  5.80,  -2.98E-013, 
  5.90,  -4.33E-013, 
  6.00,  -3.53E-013, 
  6.10,  -2.50E-013, 
  6.20,  -3.96E-013, 
  6.30,  -5.88E-013, 
  6.40,  -3.68E-013, 
  6.50,  -4.49E-013, 
  6.60,  -3.17E-013, 
