Jul 23, 2026  01:44:56 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 891 
Units, Torr 
Noise Floor, 2 
CEM Status, ON 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps


  1.00,   9.63E-013, 
  1.10,   3.58E-013, 
  1.20,   1.48E-012, 
  1.30,   1.84E-012, 
  1.40,   1.98E-012, 
  1.50,   4.40E-012, 
  1.60,   6.09E-012, 
  1.70,   6.94E-012, 
  1.80,   7.70E-012, 
  1.90,   7.24E-012, 
  2.00,   7.60E-012, 
  2.10,   8.69E-012, 
  2.20,   6.79E-012, 
  2.30,   5.80E-012, 
  2.40,   3.49E-012, 
  2.50,   1.08E-012, 
  2.60,   5.97E-013, 
  2.70,   6.04E-013, 
  2.80,   7.91E-013, 
  2.90,   3.74E-012, 
  3.00,   2.70E-012, 
  3.10,   2.62E-012, 
  3.20,   2.93E-012, 
  3.30,   2.26E-012, 
  3.40,   5.42E-012, 
  3.50,   2.51E-011, 
  3.60,   7.86E-011, 
  3.70,   1.46E-010, 
  3.80,   1.71E-010, 
  3.90,   2.33E-010, 
  4.00,   2.92E-010, 
  4.10,   3.16E-010, 
  4.20,   2.71E-010, 
  4.30,   1.88E-010, 
  4.40,   5.39E-011, 
  4.50,   9.32E-012, 
  4.60,   3.55E-012, 
  4.70,   1.76E-012, 
  4.80,   2.88E-012, 
  4.90,   2.86E-013, 
  5.00,   3.40E-013, 
  5.10,   3.96E-013, 
  5.20,   1.37E-013, 
  5.30,   2.51E-013, 
  5.40,   6.46E-013, 
  5.50,   7.62E-013, 
  5.60,   6.20E-013, 
  5.70,   6.26E-013, 
  5.80,   4.61E-013, 
  5.90,   4.36E-013, 
  6.00,   6.29E-013, 
  6.10,   6.05E-013, 
  6.20,   5.86E-013, 
  6.30,   4.21E-013, 
  6.40,   5.64E-013, 
  6.50,   2.35E-013, 
  6.60,   1.26E-013, 
  6.70,   3.67E-013, 
  6.80,   6.05E-013, 
